Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
cpu_long,0,1746085517.082276,1746085565.5343015,48.452025413513184
cpu_long,1,1746085576.9443307,1746085623.0890086,46.14467787742615
cpu_long,2,1746085633.3897417,1746085680.735441,47.345699310302734
cpu_long,3,1746085691.8140483,1746085737.8968356,46.08278727531433
cpu_long,4,1746085746.8210254,1746085792.8816414,46.06061601638794
cpu_long,5,1746085801.0645216,1746085849.2084434,48.143921852111816
cpu_long,6,1746085857.0088146,1746085903.7547164,46.74590182304382
cpu_long,7,1746085912.5217173,1746085958.5916162,46.06989884376526
cpu_long,8,1746085969.3383188,1746086015.4341927,46.09587383270264
cpu_long,9,1746086026.6694546,1746086073.4688838,46.799429178237915
