Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
cpu_low,0,1746083464.3510134,1746083464.4469903,0.0959768295288086
cpu_low,1,1746083466.2085087,1746083466.3040693,0.09556055068969727
cpu_low,2,1746083468.016313,1746083468.111976,0.09566283226013184
cpu_low,3,1746083469.815513,1746083469.9112988,0.09578585624694824
cpu_low,4,1746083471.630233,1746083471.7259057,0.095672607421875
cpu_low,5,1746083473.4150174,1746083473.5110636,0.09604620933532715
cpu_low,6,1746083475.3232205,1746083475.4192243,0.09600377082824707
cpu_low,7,1746083477.1569405,1746083477.2525604,0.09561991691589355
cpu_low,8,1746083478.9934695,1746083479.0888686,0.09539914131164551
cpu_low,9,1746083480.7891517,1746083480.884885,0.0957334041595459
