Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
cpu_low,0,1746086850.9411929,1746086851.031905,0.09071207046508789
cpu_low,1,1746086851.421533,1746086851.512457,0.09092378616333008
cpu_low,2,1746086851.905336,1746086851.9961905,0.09085464477539062
cpu_low,3,1746086852.3850367,1746086852.4758143,0.09077763557434082
cpu_low,4,1746086852.8669856,1746086852.9578688,0.09088325500488281
cpu_low,5,1746086853.3475673,1746086853.4417748,0.0942075252532959
cpu_low,6,1746086853.8309684,1746086853.9248946,0.09392619132995605
cpu_low,7,1746086854.3144908,1746086854.4059749,0.09148406982421875
cpu_low,8,1746086854.7944548,1746086854.8873327,0.09287786483764648
cpu_low,9,1746086855.2765763,1746086855.3673277,0.09075140953063965
