Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
cpu_medium,0,1746086878.0414202,1746086880.4378269,2.396406650543213
cpu_medium,1,1746086880.8272107,1746086883.2255912,2.3983805179595947
cpu_medium,2,1746086883.6156235,1746086886.0116692,2.396045684814453
cpu_medium,3,1746086886.4035282,1746086888.8002403,2.396712064743042
cpu_medium,4,1746086889.1886568,1746086891.5856452,2.3969883918762207
cpu_medium,5,1746086891.9777098,1746086894.3752012,2.397491455078125
cpu_medium,6,1746086894.7679858,1746086897.164222,2.3962361812591553
cpu_medium,7,1746086897.5573413,1746086899.9553328,2.397991418838501
cpu_medium,8,1746086900.3457434,1746086902.7431462,2.397402763366699
cpu_medium,9,1746086903.1341684,1746086905.532257,2.3980886936187744
