container_id,started,finished,total_time
29113e68f4e0,1744023342.934329,1744023371.05712,28.122791051864624
d26bd5a3ee04,1744023343.471963,1744023370.435695,26.96373200416565
c32e78976e69,1744023344.016424,1744023374.254488,30.23806405067444
f16294db0e5f,1744023344.768512,1744023374.203502,29.43498992919922
902332e9c36b,1744023345.921436,1744023374.042394,28.120957851409912
d33797e6b6f3,1744023346.972399,1744023375.469814,28.49741506576538
beba259f314a,1744023348.346945,1744023375.622477,27.275532007217407
1dad6e554db3,1744023349.573493,1744023376.156182,26.58268904685974
d64b590b6a44,1744023350.763384,1744023375.761021,24.997636795043945
009cb6461186,1744023352.018559,1744023376.783502,24.76494312286377
b2ea009e0db9,1744023353.190152,1744023377.206281,24.01612901687622
