Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_long,0,1744718815.8719842,1744718822.2325816,6.360597372055054
io_long,1,1744718822.8318794,1744718831.030518,8.198638677597046
io_long,2,1744718831.5479982,1744718835.2069712,3.658972978591919
io_long,3,1744718835.7110486,1744718840.011244,4.3001954555511475
io_long,4,1744718840.470878,1744718844.418291,3.947413206100464
io_long,5,1744718844.9181151,1744718848.876876,3.958760976791382
io_long,6,1744718849.3816798,1744718853.6256557,4.243975877761841
io_long,7,1744718854.186434,1744718858.37872,4.192286014556885
io_long,8,1744718858.8459184,1744718861.951965,3.106046676635742
io_long,9,1744718862.397952,1744718866.4058893,4.00793719291687
