Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_medium,0,1744718800.1008363,1744718800.2675996,0.1667633056640625
io_medium,1,1744718800.8173146,1744718801.001021,0.18370628356933594
io_medium,2,1744718801.408845,1744718801.5911365,0.18229150772094727
io_medium,3,1744718802.0027456,1744718802.187896,0.1851503849029541
io_medium,4,1744718802.6054265,1744718802.7895381,0.1841115951538086
io_medium,5,1744718803.2004812,1744718803.3831465,0.18266534805297852
io_medium,6,1744718803.7936637,1744718803.9814882,0.18782448768615723
io_medium,7,1744718804.4017591,1744718804.593622,0.1918628215789795
io_medium,8,1744718805.04899,1744718806.8672545,1.8182644844055176
io_medium,9,1744718807.3496675,1744718807.5326986,0.1830310821533203
