Experiment Name,Run Number,Timestamp (s),Read Bytes,Write Bytes
io_medium,0,0.00,0,61440
io_medium,0,0.10,0,8175616
io_medium,1,0.00,1568768,0
io_medium,1,0.10,1568768,6500352
io_medium,2,0.00,0,0
io_medium,2,0.10,0,6578176
io_medium,3,0.00,0,0
io_medium,3,0.10,0,6508544
io_medium,4,0.00,0,0
io_medium,4,0.10,0,6516736
io_medium,5,0.00,0,0
io_medium,5,0.10,0,6578176
io_medium,6,0.00,0,0
io_medium,6,0.10,0,6393856
io_medium,7,0.00,0,0
io_medium,7,0.10,0,6189056
io_medium,8,0.00,0,0
io_medium,8,0.10,0,0
io_medium,8,0.20,0,0
io_medium,8,0.30,0,0
io_medium,8,0.40,0,0
io_medium,8,0.50,0,0
io_medium,8,0.60,0,0
io_medium,8,0.70,0,0
io_medium,8,0.80,0,0
io_medium,8,0.90,0,0
io_medium,8,1.00,0,0
io_medium,8,1.10,0,0
io_medium,8,1.21,0,0
io_medium,8,1.31,0,0
io_medium,8,1.41,0,0
io_medium,8,1.51,0,0
io_medium,8,1.61,0,0
io_medium,8,1.71,0,4476928
io_medium,8,1.81,0,12451840
io_medium,9,0.00,0,0
io_medium,9,0.10,0,6537216
