Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
io_long,0,0.00,0.00,0.00
io_long,0,0.10,0.00,10529231.26
io_long,0,0.20,0.00,0.00
io_long,0,0.30,0.00,0.00
io_long,0,0.40,0.00,22395919.57
io_long,0,0.50,0.00,30042412.04
io_long,0,0.60,0.00,20982947.00
io_long,0,0.70,0.00,20993630.73
io_long,0,0.80,0.00,21004723.49
io_long,0,0.91,0.00,21041591.34
io_long,0,1.01,0.00,28034051.89
io_long,0,1.11,0.00,24381462.36
io_long,0,1.21,0.00,20997907.27
io_long,0,1.31,0.00,21004275.58
io_long,0,1.41,0.00,21002633.38
io_long,0,1.51,0.00,21010249.38
io_long,0,1.61,0.00,21005221.20
io_long,0,1.71,0.00,31487537.91
io_long,0,1.81,0.00,20999150.78
io_long,0,1.91,0.00,10485963.41
io_long,0,2.01,0.00,20996663.91
io_long,0,2.11,0.00,21089535.15
io_long,0,2.21,0.00,31447429.41
io_long,0,2.31,0.00,20997111.50
io_long,0,2.42,0.00,21006216.69
io_long,0,2.52,0.00,21001638.23
io_long,0,2.62,0.00,23681722.80
io_long,0,2.72,0.00,28797030.61
io_long,0,2.82,0.00,20993034.14
io_long,0,2.92,0.00,20851807.90
io_long,0,3.02,0.00,20992537.01
io_long,0,3.12,0.00,20900576.93
io_long,0,3.22,0.00,20994177.63
io_long,0,3.32,0.00,20999996.44
io_long,0,3.42,0.00,21010448.56
io_long,0,3.52,0.00,28902806.99
io_long,0,3.62,0.00,23588442.24
io_long,0,3.73,0.00,21010747.35
io_long,0,3.83,0.00,21013187.74
io_long,0,3.93,0.00,21010647.75
io_long,0,4.03,0.00,20982947.00
io_long,0,4.13,0.00,24185262.60
io_long,0,4.23,0.00,7273252.42
io_long,0,4.33,0.00,0.00
io_long,0,4.43,0.00,0.00
io_long,0,4.53,0.00,0.00
io_long,0,4.63,0.00,0.00
io_long,0,4.73,0.00,0.00
io_long,0,4.83,0.00,0.00
io_long,0,4.93,0.00,0.00
io_long,0,5.04,0.00,20932063.21
io_long,0,5.14,0.00,20968999.99
io_long,0,5.24,0.00,10479220.21
io_long,0,5.34,0.00,0.00
io_long,0,5.44,0.00,0.00
io_long,0,5.54,0.00,0.00
io_long,0,5.64,0.00,0.00
io_long,0,5.74,0.00,0.00
io_long,0,5.84,0.00,0.00
io_long,0,5.94,0.00,0.00
io_long,0,6.04,0.00,0.00
io_long,0,6.14,0.00,0.00
io_long,0,6.24,0.00,0.00
io_long,0,6.34,0.00,0.00
io_long,0,6.44,0.00,0.00
io_long,0,6.55,0.00,0.00
io_long,0,6.65,0.00,0.00
io_long,0,6.75,0.00,0.00
io_long,0,6.85,0.00,0.00
io_long,0,6.95,0.00,0.00
io_long,0,7.05,0.00,0.00
io_long,0,7.15,0.00,0.00
io_long,0,7.25,0.00,0.00
io_long,0,7.35,0.00,0.00
io_long,0,7.45,0.00,0.00
io_long,0,7.55,0.00,0.00
io_long,0,7.65,0.00,0.00
io_long,0,7.75,0.00,0.00
io_long,0,7.85,0.00,0.00
io_long,0,7.96,0.00,0.00
io_long,0,8.06,0.00,0.00
io_long,0,8.16,0.00,0.00
io_long,0,8.26,0.00,0.00
io_long,0,8.36,0.00,0.00
io_long,0,8.46,0.00,0.00
io_long,0,8.56,0.00,0.00
io_long,0,8.66,0.00,20936314.70
io_long,0,8.76,0.00,20948188.47
io_long,0,8.86,0.00,20909302.65
io_long,0,8.96,0.00,20760539.15
io_long,0,9.07,0.00,20976541.98
io_long,0,9.17,0.00,20958291.76
io_long,0,9.27,0.00,20959233.25
io_long,0,9.37,0.00,21089466.11
io_long,0,9.47,0.00,23940358.03
io_long,0,9.57,0.00,19135555.45
io_long,0,9.67,0.00,21528250.91
io_long,0,9.77,0.00,23100771.49
io_long,0,9.87,0.00,23062080.08
io_long,0,9.97,0.00,24045399.34
io_long,0,10.07,0.00,14448119.41
