Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_low,0,1744888040.8465772,1744888042.0255542,1.1789770126342773
io_low,1,1744888043.9415886,1744888045.1629753,1.2213866710662842
io_low,2,1744888047.023056,1744888048.2634976,1.2404415607452393
io_low,3,1744888050.0348165,1744888051.2809355,1.2461190223693848
io_low,4,1744888053.1081107,1744888054.373989,1.265878438949585
io_low,5,1744888056.1530654,1744888057.3990967,1.2460312843322754
io_low,6,1744888059.19712,1744888060.4610603,1.2639403343200684
io_low,7,1744888062.21444,1744888063.44785,1.2334098815917969
io_low,8,1744888065.2828233,1744888066.543805,1.260981559753418
io_low,9,1744888068.3116055,1744888069.545163,1.2335574626922607
