Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
io_low,0,0.00,0.00,0.00
io_low,0,0.10,0.00,3508093.72
io_low,0,0.20,0.00,3459842.68
io_low,0,0.30,0.00,3504474.08
io_low,0,0.40,0.00,3501384.59
io_low,0,0.50,0.00,3543509.16
io_low,0,0.60,0.00,3460859.45
io_low,0,0.70,0.00,3462607.40
io_low,0,0.80,0.00,3501882.52
io_low,0,0.91,0.00,3544744.53
io_low,0,1.01,0.00,3422503.84
io_low,0,1.11,0.00,3462172.30
io_low,1,0.00,0.00,0.00
io_low,1,0.10,0.00,3585386.68
io_low,1,0.20,0.00,3461056.32
io_low,1,0.30,0.00,3380845.69
io_low,1,0.40,0.00,3462106.63
io_low,1,0.50,0.00,3463108.31
io_low,1,0.60,0.00,3422081.81
io_low,1,0.70,0.00,3381815.89
io_low,1,0.80,0.00,3420670.41
io_low,1,0.91,0.00,3300005.46
io_low,1,1.01,0.00,3212262.14
io_low,1,1.11,0.00,3169650.08
io_low,1,1.21,0.00,3128547.34
io_low,2,0.00,0.00,0.00
io_low,2,0.10,0.00,3507194.35
io_low,2,0.20,0.00,3338703.56
io_low,2,0.30,0.00,1426252.98
io_low,2,0.40,0.00,3544332.64
io_low,2,0.50,0.00,3504133.30
io_low,2,0.60,0.00,3544500.75
io_low,2,0.70,0.00,3504124.99
io_low,2,0.80,0.00,3463773.68
io_low,2,0.90,0.00,3464044.83
io_low,2,1.01,0.00,3504731.78
io_low,2,1.11,0.00,3464011.96
io_low,2,1.21,0.00,3422844.78
io_low,3,0.00,0.00,0.00
io_low,3,0.10,0.00,3587777.60
io_low,3,0.20,0.00,3419884.10
io_low,3,0.30,0.00,3421124.53
io_low,3,0.40,0.00,3381054.11
io_low,3,0.50,0.00,3252831.30
io_low,3,0.60,0.00,3212764.01
io_low,3,0.70,0.00,3254225.35
io_low,3,0.81,0.00,3214422.80
io_low,3,0.91,0.00,3211882.05
io_low,3,1.01,0.00,3253724.59
io_low,3,1.11,0.00,3212505.45
io_low,3,1.21,0.00,3214354.28
io_low,4,0.00,0.00,0.00
io_low,4,0.10,0.00,3507585.69
io_low,4,0.20,0.00,3338901.39
io_low,4,0.30,0.00,3328999.29
io_low,4,0.40,0.00,3300208.94
io_low,4,0.50,0.00,2118612.46
io_low,4,0.60,0.00,2689084.65
io_low,4,0.70,0.00,3381687.57
io_low,4,0.80,0.00,3299848.96
io_low,4,0.91,0.00,3423055.88
io_low,4,1.01,0.00,3463650.44
io_low,4,1.11,0.00,3502887.13
io_low,4,1.21,0.00,3463404.00
io_low,5,0.00,0.00,0.00
io_low,5,0.10,0.00,3616763.23
io_low,5,0.20,0.00,3461901.44
io_low,5,0.30,0.00,3338402.91
io_low,5,0.40,0.00,3293063.03
io_low,5,0.50,0.00,3336773.99
io_low,5,0.60,0.00,3212992.18
io_low,5,0.71,0.00,3211084.14
io_low,5,0.81,0.00,3213015.00
io_low,5,0.91,0.00,3256399.68
io_low,5,1.01,0.00,3297018.74
io_low,5,1.11,0.00,3210301.81
io_low,5,1.21,0.00,3133096.95
io_low,6,0.00,0.00,0.00
io_low,6,0.10,0.00,3506353.69
io_low,6,0.20,0.00,3378306.55
io_low,6,0.30,0.00,3421473.31
io_low,6,0.40,0.00,3381222.48
io_low,6,0.50,0.00,3379795.93
io_low,6,0.60,0.00,3299888.08
io_low,6,0.70,0.00,3258970.98
io_low,6,0.80,0.00,1344287.28
io_low,6,0.91,0.00,3502040.23
io_low,6,1.01,0.00,3462377.52
io_low,6,1.11,0.00,3420451.50
io_low,6,1.21,0.00,3503460.26
io_low,7,0.00,0.00,0.00
io_low,7,0.10,0.00,3669492.16
io_low,7,0.20,0.00,3461564.98
io_low,7,0.30,0.00,3462213.34
io_low,7,0.40,0.00,3502912.04
io_low,7,0.50,0.00,3330825.37
io_low,7,0.60,0.00,3210947.39
io_low,7,0.70,0.00,3255173.37
io_low,7,0.81,0.00,3214773.04
io_low,7,0.91,0.00,3296253.39
io_low,7,1.01,0.00,3255558.90
io_low,7,1.11,0.00,3130427.82
io_low,7,1.21,0.00,3172779.57
io_low,8,0.00,0.00,0.00
io_low,8,0.10,0.00,3589097.80
io_low,8,0.20,0.00,3380917.83
io_low,8,0.30,0.00,3422593.13
io_low,8,0.40,0.00,3421724.80
io_low,8,0.50,0.00,3460482.19
io_low,8,0.60,0.00,3380573.17
io_low,8,0.70,0.00,3420200.20
io_low,8,0.80,0.00,3300968.31
io_low,8,0.91,0.00,3338901.39
io_low,8,1.01,0.00,2362692.33
io_low,8,1.11,0.00,2404038.34
io_low,8,1.21,0.00,3504565.52
io_low,9,0.00,0.00,0.00
io_low,9,0.10,0.00,3667472.87
io_low,9,0.20,0.00,3420548.79
io_low,9,0.30,0.00,3502123.24
io_low,9,0.40,0.00,3291295.01
io_low,9,0.50,0.00,3335241.41
io_low,9,0.60,0.00,3295464.97
io_low,9,0.70,0.00,3334949.28
io_low,9,0.81,0.00,3171638.13
io_low,9,0.91,0.00,3254741.68
io_low,9,1.01,0.00,3294185.58
io_low,9,1.11,0.00,3210347.37
io_low,9,1.21,0.00,3292361.83
