Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_low,0,1744722946.8420715,1744722946.8629196,0.02084803581237793
io_low,1,1744722948.6931746,1744722948.7025373,0.00936269760131836
io_low,2,1744722950.5406458,1744722950.5500708,0.009424924850463867
io_low,3,1744722952.330467,1744722952.3398728,0.009405851364135742
io_low,4,1744722954.1652598,1744722954.1748738,0.009613990783691406
io_low,5,1744722956.0441992,1744722956.0536559,0.009456634521484375
io_low,6,1744722957.8905675,1744722957.9000556,0.009488105773925781
io_low,7,1744722959.6674626,1744722959.6774526,0.00998997688293457
io_low,8,1744722961.5193796,1744722961.5291634,0.009783744812011719
io_low,9,1744722963.2969325,1744722963.3057997,0.008867263793945312
