Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_medium,0,1744722979.308053,1744722979.4919596,0.18390655517578125
io_medium,1,1744722981.3484163,1744722981.5502434,0.2018270492553711
io_medium,2,1744722983.3058116,1744722983.5076802,0.20186853408813477
io_medium,3,1744722985.172648,1744722985.7269347,0.5542867183685303
io_medium,4,1744722987.4924822,1744722987.6931617,0.20067954063415527
io_medium,5,1744722989.4916222,1744722989.6932852,0.20166301727294922
io_medium,6,1744722991.4032533,1744722992.5236619,1.120408535003662
io_medium,7,1744722994.3617792,1744722994.5710824,0.2093031406402588
io_medium,8,1744722996.3659968,1744722996.5731845,0.20718765258789062
io_medium,9,1744722998.3282301,1744723001.2341435,2.9059133529663086
