Experiment Name,Run Number,Timestamp (s),Read Bytes,Write Bytes
io_medium,0,0.00,135168,53248
io_medium,0,0.10,135168,7360512
io_medium,1,0.00,1294336,0
io_medium,1,0.10,1294336,5865472
io_medium,2,0.00,0,0
io_medium,2,0.10,0,5861376
io_medium,3,0.00,0,0
io_medium,3,0.10,0,0
io_medium,3,0.20,0,0
io_medium,3,0.30,0,0
io_medium,3,0.40,0,2170880
io_medium,3,0.50,0,9469952
io_medium,4,0.00,0,0
io_medium,4,0.10,0,5910528
io_medium,5,0.00,0,0
io_medium,5,0.10,0,5861376
io_medium,6,0.00,0,0
io_medium,6,0.10,0,0
io_medium,6,0.20,0,0
io_medium,6,0.30,0,0
io_medium,6,0.40,0,0
io_medium,6,0.50,0,0
io_medium,6,0.60,0,0
io_medium,6,0.70,0,0
io_medium,6,0.80,0,0
io_medium,6,0.91,0,0
io_medium,6,1.01,0,4943872
io_medium,6,1.11,0,12177408
io_medium,7,0.00,0,0
io_medium,7,0.10,0,5701632
io_medium,7,0.20,0,12648448
io_medium,8,0.00,0,0
io_medium,8,0.10,0,5783552
io_medium,8,0.20,0,12808192
io_medium,9,0.00,0,0
io_medium,9,0.10,0,0
io_medium,9,0.20,0,0
io_medium,9,0.30,0,0
io_medium,9,0.40,0,0
io_medium,9,0.50,0,0
io_medium,9,0.60,0,0
io_medium,9,0.70,0,0
io_medium,9,0.80,0,0
io_medium,9,0.91,0,0
io_medium,9,1.01,0,0
io_medium,9,1.11,0,0
io_medium,9,1.21,0,0
io_medium,9,1.31,0,0
io_medium,9,1.41,0,0
io_medium,9,1.51,0,0
io_medium,9,1.61,0,0
io_medium,9,1.71,0,0
io_medium,9,1.81,0,0
io_medium,9,1.91,0,0
io_medium,9,2.01,0,0
io_medium,9,2.11,0,0
io_medium,9,2.21,0,0
io_medium,9,2.31,0,0
io_medium,9,2.41,0,0
io_medium,9,2.51,0,0
io_medium,9,2.61,0,0
io_medium,9,2.71,0,0
io_medium,9,2.81,0,6885376
