Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
io_long,0,0.00,0.00,0.00
io_long,0,0.10,0.00,0.00
io_long,0,0.20,0.00,10504925.51
io_long,0,0.30,0.00,10464903.20
io_long,0,0.40,0.00,21010896.74
io_long,0,0.50,0.00,21000095.94
io_long,0,0.60,0.00,21009552.26
io_long,0,0.70,0.00,21002285.07
io_long,0,0.80,0.00,21009004.55
io_long,0,0.91,0.00,21009153.93
io_long,0,1.01,0.00,21013287.36
io_long,0,1.11,0.00,21015877.81
io_long,0,1.21,0.00,21006017.58
io_long,0,1.31,0.00,20636992.89
io_long,0,1.41,0.00,19032531.60
io_long,0,1.51,0.00,23309603.29
io_long,0,1.61,0.00,21000394.43
io_long,0,1.71,0.00,10505796.97
io_long,0,1.81,0.00,20991642.23
io_long,0,1.91,0.00,17079223.76
io_long,0,2.01,0.00,20972819.93
io_long,0,2.11,0.00,18389682.45
io_long,0,2.21,0.00,17041180.82
io_long,0,2.31,0.00,21060450.73
io_long,0,2.42,0.00,20997012.03
io_long,0,2.52,0.00,20940676.09
io_long,0,2.62,0.00,21016176.75
io_long,0,2.72,0.00,10510505.39
io_long,0,2.82,0.00,21009552.26
io_long,0,2.92,0.00,21004823.03
io_long,0,3.02,0.00,21005669.16
io_long,0,3.12,0.00,21010647.75
io_long,0,3.22,0.00,21005868.26
io_long,0,3.32,0.00,21003330.04
io_long,0,3.42,0.00,21005718.93
io_long,0,3.52,0.00,20992189.03
io_long,0,3.62,0.00,10504701.44
io_long,0,3.72,0.00,21009502.47
io_long,0,3.82,0.00,21007859.45
io_long,0,3.92,0.00,20999399.49
io_long,0,4.03,0.00,20996266.06
io_long,0,4.13,0.00,21008008.80
io_long,0,4.23,0.00,21010249.38
io_long,0,4.33,0.00,21011394.74
io_long,0,4.43,0.00,21010548.16
io_long,0,4.53,0.00,21002981.70
io_long,0,4.63,0.00,21008008.80
io_long,0,4.73,0.00,18385633.18
io_long,0,4.83,0.00,13033459.19
io_long,0,4.93,0.00,20906813.81
io_long,0,5.03,0.00,20980563.28
io_long,0,5.13,0.00,20985033.20
io_long,0,5.23,0.00,20966718.62
io_long,0,5.34,0.00,20934040.44
io_long,0,5.44,0.00,18376191.79
io_long,0,5.54,0.00,13078716.69
io_long,0,5.64,0.00,10493609.59
io_long,0,5.74,0.00,20975152.26
io_long,0,5.84,0.00,20963198.34
io_long,0,5.94,0.00,20972968.78
io_long,0,6.04,0.00,20936957.52
io_long,0,6.14,0.00,11770291.56
io_long,0,6.24,0.00,19586765.73
io_long,0,6.34,0.00,20971777.99
io_long,0,6.44,0.00,20975896.73
io_long,0,6.55,0.00,20976144.90
io_long,0,6.65,0.00,20971529.92
io_long,0,6.75,0.00,13084532.44
io_long,0,6.85,0.00,18353606.70
io_long,0,6.95,0.00,20976591.61
io_long,0,7.05,0.00,20982698.67
io_long,0,7.15,0.00,20975053.00
io_long,0,7.25,0.00,20929098.08
io_long,0,7.35,0.00,19666457.00
io_long,0,7.45,0.00,15754642.50
io_long,0,7.55,0.00,16988725.70
io_long,0,7.65,0.00,0.00
io_long,0,7.76,0.00,0.00
io_long,0,7.86,0.00,0.00
io_long,0,7.96,0.00,0.00
io_long,0,8.06,0.00,0.00
io_long,0,8.16,0.00,0.00
io_long,0,8.26,0.00,0.00
io_long,0,8.36,0.00,0.00
io_long,0,8.46,0.00,0.00
io_long,0,8.56,0.00,0.00
io_long,0,8.66,0.00,0.00
io_long,0,8.76,0.00,0.00
io_long,0,8.86,0.00,0.00
io_long,0,8.96,0.00,0.00
io_long,0,9.06,0.00,0.00
io_long,0,9.16,0.00,0.00
io_long,0,9.26,0.00,0.00
io_long,0,9.37,0.00,0.00
io_long,0,9.47,0.00,0.00
io_long,0,9.57,0.00,0.00
io_long,0,9.67,0.00,0.00
io_long,0,9.77,0.00,0.00
io_long,0,9.87,0.00,0.00
io_long,0,9.97,0.00,0.00
io_long,0,10.07,0.00,0.00
io_long,0,10.17,0.00,0.00
io_long,0,10.27,0.00,0.00
io_long,0,10.37,0.00,0.00
io_long,0,10.47,0.00,0.00
io_long,0,10.57,0.00,0.00
io_long,0,10.67,0.00,0.00
io_long,0,10.77,0.00,0.00
io_long,0,10.88,0.00,0.00
io_long,0,10.98,0.00,0.00
io_long,0,11.08,0.00,0.00
io_long,0,11.18,0.00,0.00
io_long,0,11.28,0.00,0.00
io_long,0,11.38,0.00,0.00
io_long,0,11.48,0.00,0.00
io_long,0,11.58,0.00,0.00
io_long,0,11.68,0.00,0.00
io_long,0,11.78,0.00,0.00
io_long,0,11.88,0.00,0.00
io_long,0,11.98,0.00,0.00
io_long,0,12.08,0.00,0.00
io_long,0,12.18,0.00,0.00
io_long,0,12.28,0.00,0.00
io_long,0,12.39,0.00,0.00
io_long,0,12.49,0.00,0.00
io_long,0,12.59,0.00,0.00
io_long,0,12.69,0.00,0.00
io_long,0,12.79,0.00,0.00
io_long,0,12.89,0.00,0.00
io_long,0,12.99,0.00,0.00
io_long,0,13.09,0.00,0.00
io_long,0,13.19,0.00,0.00
io_long,0,13.29,0.00,0.00
io_long,0,13.39,0.00,0.00
io_long,0,13.49,0.00,0.00
io_long,0,13.59,0.00,0.00
io_long,0,13.69,0.00,0.00
io_long,0,13.79,0.00,0.00
io_long,0,13.90,0.00,0.00
io_long,0,14.00,0.00,0.00
io_long,0,14.10,0.00,0.00
io_long,0,14.20,0.00,0.00
io_long,0,14.30,0.00,0.00
io_long,0,14.40,0.00,0.00
io_long,0,14.50,0.00,0.00
io_long,0,14.60,0.00,0.00
io_long,0,14.70,0.00,0.00
io_long,0,14.80,0.00,0.00
io_long,0,14.90,0.00,0.00
io_long,0,15.00,0.00,0.00
io_long,0,15.10,0.00,0.00
io_long,0,15.20,0.00,0.00
io_long,0,15.31,0.00,0.00
io_long,0,15.41,0.00,0.00
io_long,0,15.51,0.00,0.00
io_long,0,15.61,0.00,0.00
io_long,0,15.71,0.00,0.00
io_long,0,15.81,0.00,0.00
io_long,0,15.91,0.00,0.00
io_long,0,16.01,0.00,0.00
io_long,0,16.11,0.00,0.00
io_long,0,16.21,0.00,0.00
io_long,0,16.31,0.00,0.00
io_long,0,16.41,0.00,0.00
io_long,0,16.51,0.00,0.00
io_long,0,16.61,0.00,0.00
io_long,0,16.71,0.00,0.00
io_long,0,16.82,0.00,0.00
io_long,0,16.92,0.00,0.00
io_long,0,17.02,0.00,0.00
io_long,0,17.12,0.00,0.00
io_long,0,17.22,0.00,0.00
io_long,0,17.32,0.00,0.00
io_long,0,17.42,0.00,0.00
io_long,0,17.52,0.00,0.00
io_long,0,17.62,0.00,0.00
io_long,0,17.72,0.00,0.00
io_long,0,17.82,0.00,0.00
io_long,0,17.92,0.00,0.00
io_long,0,18.02,0.00,0.00
io_long,0,18.12,0.00,0.00
io_long,0,18.22,0.00,0.00
io_long,0,18.32,0.00,0.00
io_long,0,18.43,0.00,0.00
io_long,0,18.53,0.00,0.00
io_long,0,18.63,0.00,0.00
io_long,0,18.73,0.00,0.00
io_long,0,18.83,0.00,0.00
io_long,0,18.93,0.00,0.00
io_long,0,19.03,0.00,0.00
io_long,0,19.13,0.00,0.00
io_long,0,19.23,0.00,0.00
io_long,0,19.33,0.00,0.00
io_long,0,19.43,0.00,0.00
io_long,0,19.53,0.00,0.00
io_long,0,19.63,0.00,0.00
io_long,0,19.73,0.00,0.00
io_long,0,19.83,0.00,0.00
io_long,0,19.94,0.00,0.00
io_long,0,20.04,0.00,0.00
io_long,0,20.14,0.00,0.00
io_long,0,20.24,0.00,0.00
io_long,0,20.34,0.00,0.00
io_long,0,20.44,0.00,0.00
io_long,0,20.54,0.00,0.00
io_long,0,20.64,0.00,0.00
io_long,0,20.74,0.00,0.00
io_long,0,20.84,0.00,0.00
io_long,0,20.94,0.00,0.00
io_long,0,21.04,0.00,0.00
io_long,0,21.14,0.00,0.00
io_long,0,21.24,0.00,0.00
io_long,0,21.34,0.00,0.00
io_long,0,21.44,0.00,0.00
io_long,0,21.55,0.00,0.00
io_long,0,21.65,0.00,0.00
io_long,0,21.75,0.00,0.00
io_long,0,21.85,0.00,0.00
io_long,0,21.95,0.00,0.00
io_long,0,22.05,0.00,0.00
io_long,0,22.15,0.00,0.00
io_long,0,22.25,0.00,0.00
io_long,0,22.35,0.00,0.00
io_long,0,22.45,0.00,0.00
io_long,0,22.55,0.00,0.00
io_long,0,22.65,0.00,0.00
io_long,0,22.75,0.00,0.00
io_long,0,22.85,0.00,0.00
io_long,0,22.95,0.00,0.00
io_long,0,23.06,0.00,0.00
io_long,0,23.16,0.00,0.00
io_long,0,23.26,0.00,0.00
io_long,0,23.36,0.00,0.00
io_long,0,23.46,0.00,0.00
io_long,0,23.56,0.00,0.00
io_long,0,23.66,0.00,0.00
io_long,0,23.76,0.00,20973365.74
io_long,0,23.86,0.00,10557808.60
io_long,0,23.96,0.00,20888564.77
io_long,0,24.06,0.00,20958489.96
