Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
io_low,0,0.00,0.00,0.00
io_low,0,0.10,0.00,2733789.74
io_low,0,0.20,0.00,1140766.98
io_low,0,0.30,0.00,2891705.91
io_low,0,0.40,0.00,2810076.20
io_low,0,0.50,0.00,2770282.98
io_low,0,0.60,0.00,2811562.48
io_low,0,0.70,0.00,2851349.44
io_low,0,0.80,0.00,2810422.64
io_low,0,0.91,0.00,2811762.55
io_low,0,1.01,0.00,2810429.30
io_low,0,1.11,0.00,2811702.53
io_low,0,1.21,0.00,2852607.46
io_low,0,1.31,0.00,2852641.29
io_low,0,1.41,0.00,2812469.69
io_low,0,1.51,0.00,2811295.77
io_low,1,0.00,0.00,0.00
io_low,1,0.10,0.00,2815395.41
io_low,1,0.20,0.00,2770519.50
io_low,1,0.30,0.00,2812076.05
io_low,1,0.40,0.00,2729200.52
io_low,1,0.50,0.00,2689212.20
io_low,1,0.60,0.00,2689199.45
io_low,1,0.70,0.00,2771124.11
io_low,1,0.80,0.00,2811135.76
io_low,1,0.90,0.00,2689078.27
io_low,1,1.01,0.00,2646740.31
io_low,1,1.11,0.00,2728896.41
io_low,1,1.21,0.00,2771452.81
io_low,1,1.31,0.00,2771406.79
io_low,1,1.41,0.00,2730948.83
io_low,2,0.00,0.00,0.00
io_low,2,0.10,0.00,2733588.48
io_low,2,0.20,0.00,2526379.44
io_low,2,0.30,0.00,2481288.08
io_low,2,0.40,0.00,2562205.00
io_low,2,0.50,0.00,1138717.34
io_low,2,0.60,0.00,2440663.23
io_low,2,0.71,0.00,2755281.53
io_low,2,0.81,0.00,2604545.83
io_low,2,0.91,0.00,2645536.40
io_low,2,1.01,0.00,2644283.49
io_low,2,1.11,0.00,2604743.28
io_low,2,1.21,0.00,2684062.26
io_low,2,1.31,0.00,2726491.83
io_low,2,1.41,0.00,2645335.86
io_low,2,1.51,0.00,2684310.08
io_low,2,1.61,0.00,2684716.84
io_low,3,0.00,0.00,0.00
io_low,3,0.10,0.00,2855581.06
io_low,3,0.20,0.00,2810389.32
io_low,3,0.30,0.00,2810955.78
io_low,3,0.40,0.00,2812249.50
io_low,3,0.50,0.00,2689645.98
io_low,3,0.60,0.00,2848344.16
io_low,3,0.70,0.00,2770749.48
io_low,3,0.80,0.00,2689237.72
io_low,3,0.90,0.00,2771505.41
io_low,3,1.01,0.00,2770808.63
io_low,3,1.11,0.00,2771636.92
io_low,3,1.21,0.00,2771229.29
io_low,3,1.31,0.00,2689269.61
io_low,3,1.41,0.00,2771669.80
io_low,4,0.00,0.00,0.00
