Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
io_medium,0,0.00,0.00,0.00
io_medium,0,0.10,0.00,3468784.46
io_medium,0,0.20,0.00,3340571.99
io_medium,0,0.30,0.00,3342188.76
io_medium,0,0.40,0.00,3420824.47
io_medium,0,0.50,0.00,3381984.33
io_medium,0,0.60,0.00,3382345.33
io_medium,0,0.70,0.00,3382249.05
io_medium,0,0.80,0.00,3381831.93
io_medium,0,0.90,0.00,3341522.84
io_medium,0,1.01,0.00,3382642.20
io_medium,0,1.11,0.00,3380869.73
io_medium,0,1.21,0.00,1588906.59
io_medium,0,1.31,0.00,0.00
io_medium,0,1.41,0.00,0.00
io_medium,0,1.51,0.00,0.00
io_medium,0,1.61,0.00,0.00
io_medium,0,1.71,0.00,0.00
io_medium,0,1.81,0.00,0.00
io_medium,0,1.91,0.00,0.00
io_medium,0,2.01,0.00,0.00
io_medium,0,2.11,0.00,0.00
io_medium,0,2.21,0.00,0.00
io_medium,0,2.31,0.00,0.00
io_medium,0,2.41,0.00,0.00
io_medium,0,2.51,0.00,0.00
io_medium,0,2.61,0.00,0.00
io_medium,0,2.71,0.00,0.00
io_medium,0,2.81,0.00,0.00
io_medium,0,2.91,0.00,0.00
io_medium,0,3.01,0.00,2161569.54
io_medium,0,3.12,0.00,3341736.86
io_medium,0,3.22,0.00,3341887.48
io_medium,0,3.32,0.00,3382449.63
io_medium,0,3.42,0.00,3463132.95
io_medium,0,3.52,0.00,3423080.23
io_medium,0,3.62,0.00,1222090.93
io_medium,0,3.72,0.00,3503294.11
io_medium,0,3.82,0.00,3422219.77
io_medium,0,3.92,0.00,3463461.50
io_medium,0,4.02,0.00,3503526.72
io_medium,0,4.12,0.00,3378322.56
io_medium,0,4.22,0.00,3545349.92
io_medium,0,4.32,0.00,3545745.22
io_medium,0,4.42,0.00,3422049.36
io_medium,0,4.52,0.00,3423064.00
io_medium,0,4.62,0.00,3339962.14
io_medium,0,4.72,0.00,3272917.88
io_medium,0,4.83,0.00,3369987.05
io_medium,0,4.93,0.00,3253801.62
io_medium,0,5.03,0.00,3335320.38
io_medium,0,5.13,0.00,3256021.66
io_medium,0,5.23,0.00,3172794.59
io_medium,0,5.33,0.00,3214932.95
io_medium,0,5.43,0.00,3171668.16
io_medium,0,5.53,0.00,3210446.09
io_medium,0,5.63,0.00,3132369.90
io_medium,0,5.73,0.00,3252546.48
io_medium,0,5.83,0.00,3213958.47
io_medium,0,5.93,0.00,3214986.26
io_medium,0,6.03,0.00,3288393.96
io_medium,0,6.13,0.00,3133208.26
io_medium,0,6.24,0.00,3172681.91
io_medium,0,6.34,0.00,3213022.60
io_medium,0,6.44,0.00,3215519.45
io_medium,0,6.54,0.00,3131939.77
io_medium,0,6.64,0.00,3163103.45
io_medium,0,6.74,0.00,3091396.97
io_medium,0,6.84,0.00,3090657.88
io_medium,0,6.94,0.00,3129094.96
io_medium,0,7.04,0.00,3211228.49
io_medium,0,7.14,0.00,3127696.68
io_medium,0,7.24,0.00,2645166.67
io_medium,0,7.34,0.00,650801.92
io_medium,0,7.44,0.00,3253200.88
io_medium,0,7.55,0.00,3170625.04
io_medium,0,7.65,0.00,3175064.91
io_medium,0,7.75,0.00,3293109.79
io_medium,0,7.85,0.00,3254988.35
io_medium,0,7.95,0.00,3296229.96
io_medium,0,8.05,0.00,3296362.70
io_medium,0,8.15,0.00,3214841.57
io_medium,0,8.25,0.00,3251653.84
io_medium,0,8.35,0.00,3295051.40
io_medium,0,8.45,0.00,3295371.33
io_medium,0,8.55,0.00,3174192.49
io_medium,0,8.65,0.00,3254040.44
io_medium,0,8.75,0.00,3133282.47
io_medium,0,8.85,0.00,3246154.93
io_medium,0,8.96,0.00,3174673.77
io_medium,0,9.06,0.00,3169845.03
io_medium,0,9.16,0.00,3252715.83
io_medium,0,9.26,0.00,284893.12
io_medium,0,9.36,0.00,0.00
io_medium,0,9.46,0.00,0.00
io_medium,0,9.56,0.00,0.00
io_medium,0,9.66,0.00,0.00
io_medium,0,9.76,0.00,0.00
io_medium,0,9.86,0.00,0.00
io_medium,0,9.96,0.00,0.00
io_medium,0,10.06,0.00,0.00
io_medium,0,10.16,0.00,0.00
io_medium,0,10.26,0.00,0.00
io_medium,0,10.36,0.00,0.00
io_medium,0,10.47,0.00,0.00
io_medium,0,10.57,0.00,0.00
io_medium,0,10.67,0.00,0.00
io_medium,0,10.77,0.00,0.00
io_medium,0,10.87,0.00,0.00
io_medium,0,10.97,0.00,0.00
io_medium,0,11.07,0.00,0.00
io_medium,0,11.17,0.00,0.00
io_medium,0,11.27,0.00,0.00
io_medium,0,11.37,0.00,0.00
io_medium,0,11.47,0.00,0.00
io_medium,0,11.57,0.00,2116614.65
io_medium,0,11.67,0.00,3173839.14
io_medium,0,11.77,0.00,3295831.81
io_medium,0,11.87,0.00,3172133.65
io_medium,0,11.97,0.00,3214179.20
io_medium,0,12.08,0.00,3330423.77
io_medium,0,12.18,0.00,3173636.19
io_medium,0,12.28,0.00,3254780.22
io_medium,0,12.38,0.00,3254371.76
io_medium,0,12.48,0.00,3212148.10
io_medium,0,12.58,0.00,3213060.64
io_medium,0,12.68,0.00,3255034.60
io_medium,0,12.78,0.00,893946.78
io_medium,0,12.88,0.00,0.00
io_medium,0,12.98,0.00,0.00
io_medium,0,13.08,0.00,0.00
io_medium,0,13.18,0.00,0.00
io_medium,0,13.28,0.00,0.00
io_medium,0,13.38,0.00,0.00
io_medium,0,13.48,0.00,0.00
io_medium,0,13.58,0.00,0.00
io_medium,0,13.69,0.00,0.00
io_medium,0,13.79,0.00,0.00
io_medium,0,13.89,0.00,0.00
io_medium,0,13.99,0.00,0.00
io_medium,0,14.09,0.00,0.00
io_medium,0,14.19,0.00,0.00
io_medium,0,14.29,0.00,0.00
io_medium,0,14.39,0.00,0.00
io_medium,0,14.49,0.00,0.00
io_medium,0,14.59,0.00,0.00
io_medium,0,14.69,0.00,0.00
io_medium,0,14.79,0.00,0.00
io_medium,0,14.89,0.00,0.00
io_medium,0,14.99,0.00,1261971.49
io_medium,0,15.10,0.00,3051703.35
io_medium,0,15.20,0.00,3214544.61
io_medium,0,15.30,0.00,3171075.22
io_medium,0,15.40,0.00,3255913.67
io_medium,0,15.50,0.00,731466.36
io_medium,0,15.60,0.00,3253732.29
io_medium,0,15.70,0.00,3252269.40
io_medium,0,15.80,0.00,3293663.19
io_medium,0,15.90,0.00,3295433.76
io_medium,0,16.00,0.00,3336932.07
io_medium,0,16.10,0.00,3335715.25
io_medium,0,16.20,0.00,3295870.84
io_medium,0,16.30,0.00,3214415.18
io_medium,0,16.40,0.00,2888583.24
io_medium,0,16.51,0.00,0.00
io_medium,0,16.61,0.00,0.00
io_medium,0,16.71,0.00,0.00
io_medium,0,16.81,0.00,0.00
io_medium,0,16.91,0.00,0.00
io_medium,0,17.01,0.00,0.00
io_medium,0,17.11,0.00,0.00
io_medium,0,17.21,0.00,0.00
io_medium,0,17.31,0.00,0.00
io_medium,0,17.41,0.00,0.00
io_medium,0,17.51,0.00,0.00
io_medium,0,17.61,0.00,0.00
io_medium,0,17.71,0.00,0.00
io_medium,0,17.81,0.00,0.00
io_medium,0,17.91,0.00,0.00
io_medium,0,18.02,0.00,0.00
io_medium,0,18.12,0.00,0.00
io_medium,0,18.22,0.00,0.00
io_medium,0,18.32,0.00,0.00
io_medium,0,18.42,0.00,40675.79
io_medium,0,18.52,0.00,0.00
io_medium,0,18.62,0.00,1260325.97
io_medium,0,18.72,0.00,1586265.84
io_medium,0,18.82,0.00,3290936.96
io_medium,0,18.92,0.00,3375963.04
io_medium,0,19.02,0.00,3290617.90
io_medium,0,19.12,0.00,3213136.71
io_medium,0,19.22,0.00,3336394.66
io_medium,0,19.33,0.00,3208852.10
io_medium,0,19.43,0.00,3254556.71
io_medium,0,19.53,0.00,3130213.00
io_medium,0,19.63,0.00,3255620.59
io_medium,0,19.73,0.00,3133230.52
io_medium,0,19.83,0.00,3214575.07
io_medium,0,19.93,0.00,3214597.91
io_medium,0,20.03,0.00,3212916.12
io_medium,0,20.13,0.00,3254086.66
io_medium,0,20.23,0.00,3251123.10
io_medium,0,20.33,0.00,3209808.31
io_medium,0,20.43,0.00,3252915.99
io_medium,0,20.53,0.00,3174117.30
io_medium,0,20.63,0.00,3252769.71
io_medium,0,20.73,0.00,3131265.14
io_medium,0,20.84,0.00,3173621.15
io_medium,0,20.94,0.00,3088216.30
io_medium,0,21.04,0.00,3213722.55
io_medium,0,21.14,0.00,3087902.25
io_medium,0,21.24,0.00,3295613.26
io_medium,0,21.34,0.00,2556969.05
io_medium,0,21.44,0.00,934534.30
io_medium,0,21.54,0.00,3250953.92
io_medium,0,21.64,0.00,3330778.12
io_medium,0,21.74,0.00,3212619.51
io_medium,0,21.84,0.00,3292260.57
io_medium,0,21.94,0.00,3252908.29
io_medium,0,22.04,0.00,3296206.54
io_medium,0,22.15,0.00,3296971.87
io_medium,0,22.25,0.00,3248840.62
io_medium,0,22.35,0.00,3249101.75
io_medium,0,22.45,0.00,3295621.07
io_medium,0,22.55,0.00,3253732.29
io_medium,0,22.65,0.00,3335960.12
io_medium,0,22.75,0.00,3247804.18
io_medium,0,22.85,0.00,3296479.83
io_medium,0,22.95,0.00,3211228.49
io_medium,0,23.05,0.00,3212984.57
io_medium,0,23.15,0.00,3130546.35
io_medium,0,23.25,0.00,3251830.79
io_medium,0,23.35,0.00,3082929.71
io_medium,0,23.46,0.00,3048490.39
io_medium,0,23.56,0.00,3172381.47
io_medium,0,23.66,0.00,3213121.49
io_medium,0,23.76,0.00,3052035.86
io_medium,0,23.86,0.00,3210962.59
io_medium,0,23.96,0.00,3173245.39
io_medium,0,24.06,0.00,3173493.39
io_medium,0,24.16,0.00,3173703.83
io_medium,0,24.26,0.00,3131472.69
io_medium,0,24.36,0.00,3211707.23
io_medium,0,24.46,0.00,3295745.95
io_medium,0,24.56,0.00,3007160.83
io_medium,0,24.66,0.00,3131739.57
io_medium,0,24.76,0.00,3049305.62
io_medium,0,24.87,0.00,3215344.24
io_medium,0,24.97,0.00,2235178.86
io_medium,0,25.07,0.00,81113.45
io_medium,0,25.17,0.00,0.00
io_medium,0,25.27,0.00,0.00
io_medium,0,25.37,0.00,0.00
io_medium,0,25.47,0.00,0.00
io_medium,0,25.57,0.00,0.00
io_medium,0,25.67,0.00,0.00
io_medium,0,25.77,0.00,0.00
io_medium,0,25.87,0.00,0.00
io_medium,0,25.97,0.00,0.00
io_medium,0,26.07,0.00,0.00
io_medium,0,26.17,0.00,0.00
io_medium,0,26.27,0.00,0.00
io_medium,0,26.38,0.00,0.00
io_medium,0,26.48,0.00,0.00
io_medium,0,26.58,0.00,0.00
io_medium,0,26.68,0.00,0.00
io_medium,0,26.78,0.00,0.00
io_medium,0,26.88,0.00,0.00
io_medium,0,26.98,0.00,0.00
io_medium,0,27.08,0.00,0.00
io_medium,0,27.18,0.00,40707.41
io_medium,0,27.28,0.00,0.00
io_medium,0,27.38,0.00,0.00
io_medium,0,27.48,0.00,0.00
io_medium,0,27.58,0.00,0.00
io_medium,0,27.68,0.00,0.00
io_medium,0,27.79,0.00,0.00
io_medium,0,27.89,0.00,0.00
io_medium,0,27.99,0.00,0.00
io_medium,0,28.09,0.00,0.00
io_medium,0,28.19,0.00,0.00
io_medium,0,28.29,0.00,0.00
io_medium,0,28.39,0.00,0.00
io_medium,0,28.49,0.00,0.00
io_medium,0,28.59,0.00,0.00
io_medium,0,28.69,0.00,0.00
io_medium,0,28.79,0.00,0.00
io_medium,0,28.89,0.00,0.00
io_medium,0,28.99,0.00,0.00
io_medium,0,29.09,0.00,0.00
io_medium,0,29.19,0.00,0.00
io_medium,0,29.30,0.00,0.00
io_medium,0,29.40,0.00,0.00
io_medium,0,29.50,0.00,0.00
io_medium,0,29.60,0.00,0.00
io_medium,0,29.70,0.00,0.00
io_medium,0,29.80,0.00,0.00
io_medium,0,29.90,0.00,0.00
io_medium,0,30.00,0.00,0.00
io_medium,0,30.10,0.00,0.00
io_medium,0,30.20,0.00,0.00
io_medium,0,30.30,0.00,0.00
io_medium,0,30.40,0.00,0.00
io_medium,0,30.50,0.00,0.00
io_medium,0,30.60,0.00,0.00
io_medium,0,30.70,0.00,0.00
io_medium,0,30.81,0.00,0.00
io_medium,0,30.91,0.00,0.00
io_medium,0,31.01,0.00,0.00
io_medium,0,31.11,0.00,0.00
io_medium,0,31.21,0.00,0.00
io_medium,0,31.31,0.00,1751107.28
io_medium,0,31.41,0.00,2757492.75
io_medium,0,31.51,0.00,1584686.35
io_medium,0,31.61,0.00,3213730.16
io_medium,0,31.71,0.00,3332267.18
io_medium,0,31.81,0.00,3212665.14
io_medium,0,31.91,0.00,3293811.31
io_medium,0,32.01,0.00,3208571.41
io_medium,1,0.00,0.00,0.00
io_medium,1,0.10,0.00,2814125.51
io_medium,1,0.20,0.00,3420321.79
io_medium,1,0.30,0.00,3502629.69
io_medium,1,0.40,0.00,3544181.36
io_medium,1,0.50,0.00,3463617.58
io_medium,1,0.60,0.00,3542837.21
io_medium,1,0.70,0.00,1589208.09
io_medium,1,0.80,0.00,0.00
io_medium,1,0.90,0.00,0.00
io_medium,1,1.01,0.00,0.00
io_medium,1,1.11,0.00,2484888.77
io_medium,1,1.21,0.00,3462508.88
io_medium,1,1.31,0.00,3500563.30
io_medium,1,1.41,0.00,3421562.54
io_medium,1,1.51,0.00,3504798.29
io_medium,1,1.61,0.00,3382104.65
io_medium,1,1.71,0.00,3381406.89
io_medium,1,1.81,0.00,3420613.65
io_medium,1,1.91,0.00,3420483.93
io_medium,1,2.01,0.00,3422162.96
io_medium,1,2.11,0.00,3461425.49
io_medium,1,2.21,0.00,3299888.08
io_medium,1,2.31,0.00,3421424.64
io_medium,1,2.41,0.00,3382289.17
io_medium,1,2.51,0.00,3422787.95
io_medium,1,2.61,0.00,3464529.71
io_medium,1,2.71,0.00,3423843.65
io_medium,1,2.82,0.00,3301383.37
io_medium,1,2.92,0.00,3381679.55
io_medium,1,3.02,0.00,3382899.00
io_medium,1,3.12,0.00,3341182.06
io_medium,1,3.22,0.00,2728818.78
io_medium,1,3.32,0.00,1466867.37
io_medium,1,3.42,0.00,3503593.19
io_medium,1,3.52,0.00,3422852.90
io_medium,1,3.62,0.00,3462073.80
io_medium,1,3.72,0.00,3463798.32
io_medium,1,3.82,0.00,3502330.79
io_medium,1,3.92,0.00,3544114.13
io_medium,1,4.02,0.00,3380557.14
io_medium,1,4.12,0.00,3463215.08
io_medium,1,4.22,0.00,3422146.73
io_medium,1,4.32,0.00,3542400.58
io_medium,1,4.42,0.00,3504390.96
io_medium,1,4.52,0.00,3463666.87
io_medium,1,4.62,0.00,3504607.08
io_medium,1,4.73,0.00,3300169.81
io_medium,1,4.83,0.00,3254826.47
io_medium,1,4.93,0.00,3172531.69
io_medium,1,5.03,0.00,3210590.39
io_medium,1,5.13,0.00,3215268.07
io_medium,1,5.23,0.00,3050706.25
io_medium,1,5.33,0.00,3172576.75
io_medium,1,5.43,0.00,3292104.79
io_medium,1,5.53,0.00,3173989.49
io_medium,1,5.63,0.00,3130124.12
io_medium,1,5.73,0.00,3248825.26
io_medium,1,5.83,0.00,3050005.77
io_medium,1,5.93,0.00,3212353.38
io_medium,1,6.03,0.00,3051819.00
io_medium,1,6.14,0.00,3252615.76
io_medium,1,6.24,0.00,3214788.27
io_medium,1,6.34,0.00,3173433.26
io_medium,1,6.44,0.00,3132399.57
io_medium,1,6.54,0.00,3132696.29
io_medium,1,6.64,0.00,3174372.95
io_medium,1,6.74,0.00,3170565.03
io_medium,1,6.84,0.00,3170947.66
io_medium,1,6.94,0.00,1098441.50
io_medium,1,7.04,0.00,1789180.02
io_medium,1,7.14,0.00,3172591.78
io_medium,1,7.24,0.00,122023.63
io_medium,1,7.34,0.00,0.00
io_medium,1,7.44,0.00,0.00
io_medium,1,7.54,0.00,0.00
io_medium,1,7.65,0.00,0.00
io_medium,1,7.75,0.00,0.00
io_medium,1,7.85,0.00,0.00
io_medium,1,7.95,0.00,0.00
io_medium,1,8.05,0.00,0.00
io_medium,1,8.15,0.00,0.00
io_medium,1,8.25,0.00,0.00
io_medium,1,8.35,0.00,0.00
io_medium,1,8.45,0.00,0.00
io_medium,1,8.55,0.00,0.00
io_medium,1,8.65,0.00,0.00
io_medium,1,8.75,0.00,0.00
io_medium,1,8.85,0.00,0.00
io_medium,1,8.95,0.00,0.00
io_medium,1,9.05,0.00,0.00
io_medium,1,9.15,0.00,0.00
io_medium,1,9.26,0.00,0.00
io_medium,1,9.36,0.00,0.00
io_medium,1,9.46,0.00,0.00
io_medium,1,9.56,0.00,0.00
io_medium,1,9.66,0.00,0.00
io_medium,1,9.76,0.00,0.00
io_medium,1,9.86,0.00,0.00
io_medium,1,9.96,0.00,0.00
io_medium,1,10.06,0.00,0.00
io_medium,1,10.16,0.00,0.00
io_medium,1,10.26,0.00,0.00
io_medium,1,10.36,0.00,0.00
io_medium,1,10.46,0.00,0.00
io_medium,1,10.56,0.00,0.00
io_medium,1,10.67,0.00,0.00
io_medium,1,10.77,0.00,0.00
io_medium,1,10.87,0.00,0.00
io_medium,1,10.97,0.00,2237947.59
io_medium,1,11.07,0.00,3172479.11
io_medium,1,11.17,0.00,3290127.75
io_medium,1,11.27,0.00,3212657.54
io_medium,1,11.37,0.00,3377498.35
io_medium,1,11.47,0.00,3210324.59
io_medium,1,11.57,0.00,3294513.14
io_medium,1,11.67,0.00,3253909.47
io_medium,1,11.77,0.00,3292050.28
io_medium,1,11.87,0.00,3335486.21
io_medium,1,11.97,0.00,3296612.59
io_medium,1,12.08,0.00,3331510.66
io_medium,1,12.18,0.00,244100.42
io_medium,1,12.28,0.00,0.00
io_medium,1,12.38,0.00,0.00
io_medium,1,12.48,0.00,0.00
io_medium,1,12.58,0.00,0.00
io_medium,1,12.68,0.00,0.00
io_medium,1,12.78,0.00,0.00
io_medium,1,12.88,0.00,2686701.61
io_medium,1,12.98,0.00,3294809.55
io_medium,1,13.08,0.00,3255327.57
io_medium,1,13.18,0.00,3252569.57
io_medium,1,13.28,0.00,3291217.17
io_medium,1,13.38,0.00,3132392.15
io_medium,1,13.48,0.00,3171893.38
io_medium,1,13.59,0.00,3170062.49
io_medium,1,13.69,0.00,3174508.31
io_medium,1,13.79,0.00,3337438.01
io_medium,1,13.89,0.00,3087361.93
io_medium,1,13.99,0.00,3208685.20
io_medium,1,14.09,0.00,3293359.19
io_medium,1,14.19,0.00,3132763.06
io_medium,1,14.29,0.00,3255759.41
io_medium,1,14.39,0.00,3293889.28
io_medium,1,14.49,0.00,3215207.13
io_medium,1,14.59,0.00,3213463.84
io_medium,1,14.69,0.00,3170279.99
io_medium,1,14.79,0.00,3214460.86
io_medium,1,14.89,0.00,3172223.77
io_medium,1,15.00,0.00,2033447.89
io_medium,1,15.10,0.00,1951763.45
io_medium,1,15.20,0.00,3292151.52
io_medium,1,15.30,0.00,3251238.47
io_medium,1,15.40,0.00,3213889.97
io_medium,1,15.50,0.00,3333710.24
io_medium,1,15.60,0.00,3209724.80
io_medium,1,15.70,0.00,3378362.58
io_medium,1,15.80,0.00,3296995.31
io_medium,1,15.90,0.00,3295769.37
io_medium,1,16.00,0.00,3254965.22
io_medium,1,16.10,0.00,3292089.22
io_medium,1,16.20,0.00,3294996.79
io_medium,1,16.30,0.00,3255242.76
io_medium,1,16.41,0.00,3334120.52
io_medium,1,16.51,0.00,3295254.27
io_medium,1,16.61,0.00,3254387.17
io_medium,1,16.71,0.00,3213288.85
io_medium,1,16.81,0.00,3255674.58
io_medium,1,16.91,0.00,3254001.91
io_medium,1,17.01,0.00,3089421.99
io_medium,1,17.11,0.00,3173989.49
io_medium,1,17.21,0.00,3213243.21
io_medium,1,17.31,0.00,3173651.22
io_medium,1,17.41,0.00,3130146.34
io_medium,1,17.51,0.00,3215329.01
io_medium,1,17.61,0.00,3091543.36
io_medium,1,17.71,0.00,3170947.66
io_medium,1,17.82,0.00,3170662.55
io_medium,1,17.92,0.00,3174342.87
io_medium,1,18.02,0.00,3172884.74
io_medium,1,18.12,0.00,3212216.53
io_medium,1,18.22,0.00,3172298.86
io_medium,1,18.32,0.00,3133378.95
io_medium,1,18.42,0.00,3168061.44
io_medium,1,18.52,0.00,3132748.22
io_medium,1,18.62,0.00,3129783.46
io_medium,1,18.72,0.00,3011406.25
io_medium,1,18.82,0.00,0.00
io_medium,1,18.92,0.00,3095281.13
io_medium,1,19.02,0.00,3172952.36
io_medium,1,19.12,0.00,1587145.12
io_medium,1,19.23,0.00,0.00
io_medium,1,19.33,0.00,0.00
io_medium,1,19.43,0.00,0.00
io_medium,1,19.53,0.00,0.00
