Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
io_long,0,0.00,0.00,0.00
io_long,0,0.10,0.00,0.00
io_long,0,0.20,0.00,10537251.15
io_long,0,0.30,0.00,10454149.43
io_long,0,0.40,0.00,21002185.55
io_long,0,0.50,0.00,20990499.02
io_long,0,0.60,0.00,20996464.98
io_long,0,0.70,0.00,20989107.45
io_long,0,0.81,0.00,20995420.70
io_long,0,0.91,0.00,20987666.38
io_long,0,1.01,0.00,21004176.04
io_long,0,1.11,0.00,20994326.79
io_long,0,1.21,0.00,21007909.23
io_long,0,1.31,0.00,21000593.43
io_long,0,1.41,0.00,21005221.20
io_long,0,1.51,0.00,10499973.35
io_long,0,1.61,0.00,21010099.99
io_long,0,1.71,0.00,21000941.68
io_long,0,1.81,0.00,21006515.35
io_long,0,1.91,0.00,21000344.68
io_long,0,2.01,0.00,20991095.46
io_long,0,2.11,0.00,20986473.91
io_long,0,2.21,0.00,20998802.58
io_long,0,2.32,0.00,21003230.51
io_long,0,2.42,0.00,17023857.69
io_long,0,2.52,0.00,14486447.88
io_long,0,2.62,0.00,20932684.04
io_long,0,2.72,0.00,20991791.36
io_long,0,2.82,0.00,21009402.88
io_long,0,2.92,0.00,20993481.58
io_long,0,3.02,0.00,21009452.67
io_long,0,3.12,0.00,21009303.30
io_long,0,3.22,0.00,21010597.95
io_long,0,3.32,0.00,20998404.65
io_long,0,3.42,0.00,10502685.26
io_long,0,3.52,0.00,21002235.31
io_long,0,3.62,0.00,21006515.35
io_long,0,3.72,0.00,21001837.25
io_long,0,3.83,0.00,20977931.88
io_long,0,3.93,0.00,20953437.00
io_long,0,4.03,0.00,20961810.39
io_long,0,4.13,0.00,20948782.51
io_long,0,4.23,0.00,19654324.24
io_long,0,4.33,0.00,11820451.91
io_long,0,4.43,0.00,20927768.36
io_long,0,4.53,0.00,20962206.93
io_long,0,4.63,0.00,20930234.61
io_long,0,4.73,0.00,20943387.87
io_long,0,4.83,0.00,16946770.39
io_long,0,4.94,0.00,14425323.24
io_long,0,5.04,0.00,20942480.66
io_long,0,5.14,0.00,20963297.49
io_long,0,5.24,0.00,20960521.74
io_long,0,5.34,0.00,20966470.67
io_long,0,5.44,0.00,10484574.40
io_long,0,5.54,0.00,20964140.27
io_long,0,5.64,0.00,13700282.10
io_long,0,5.74,0.00,17747505.06
io_long,0,5.84,0.00,20971182.64
io_long,0,5.94,0.00,20950069.71
io_long,0,6.04,0.00,20951406.60
io_long,0,6.15,0.00,20692722.57
io_long,0,6.25,0.00,12771026.90
io_long,0,6.35,0.00,18885850.39
io_long,0,6.45,0.00,20957647.63
io_long,0,6.55,0.00,20967462.49
io_long,0,6.65,0.00,10479344.08
io_long,0,6.75,0.00,6336167.82
io_long,0,6.85,0.00,14615671.43
io_long,0,6.95,0.00,20940765.79
io_long,0,7.05,0.00,20978378.68
io_long,0,7.15,0.00,20943288.91
io_long,0,7.25,0.00,20958044.01
io_long,0,7.36,0.00,20958341.31
io_long,0,7.46,0.00,20160015.32
io_long,0,7.56,0.00,811724.70
io_long,0,7.66,0.00,0.00
io_long,0,7.76,0.00,0.00
io_long,0,7.86,0.00,0.00
io_long,0,7.96,0.00,0.00
io_long,0,8.06,0.00,0.00
io_long,0,8.16,0.00,0.00
io_long,0,8.26,0.00,0.00
io_long,0,8.36,0.00,0.00
io_long,0,8.46,0.00,0.00
io_long,0,8.56,0.00,0.00
io_long,0,8.66,0.00,0.00
io_long,0,8.77,0.00,0.00
io_long,0,8.87,0.00,0.00
io_long,0,8.97,0.00,0.00
io_long,0,9.07,0.00,0.00
io_long,0,9.17,0.00,0.00
io_long,0,9.27,0.00,0.00
io_long,0,9.37,0.00,0.00
io_long,0,9.47,0.00,0.00
io_long,0,9.57,0.00,0.00
io_long,0,9.67,0.00,0.00
io_long,0,9.77,0.00,0.00
io_long,0,9.87,0.00,0.00
io_long,0,9.97,0.00,0.00
io_long,0,10.08,0.00,0.00
io_long,0,10.18,0.00,0.00
io_long,0,10.28,0.00,0.00
io_long,0,10.38,0.00,0.00
io_long,0,10.48,0.00,0.00
io_long,0,10.58,0.00,0.00
io_long,0,10.68,0.00,0.00
io_long,0,10.78,0.00,0.00
io_long,0,10.88,0.00,0.00
io_long,0,10.98,0.00,0.00
io_long,0,11.08,0.00,0.00
io_long,0,11.18,0.00,0.00
io_long,0,11.28,0.00,0.00
io_long,0,11.38,0.00,0.00
io_long,0,11.49,0.00,0.00
io_long,0,11.59,0.00,0.00
io_long,0,11.69,0.00,0.00
io_long,0,11.79,0.00,0.00
io_long,0,11.89,0.00,0.00
io_long,0,11.99,0.00,0.00
io_long,0,12.09,0.00,0.00
io_long,0,12.19,0.00,0.00
io_long,0,12.29,0.00,0.00
io_long,0,12.39,0.00,0.00
io_long,0,12.49,0.00,0.00
io_long,0,12.59,0.00,0.00
io_long,0,12.69,0.00,0.00
io_long,0,12.79,0.00,0.00
io_long,0,12.90,0.00,0.00
io_long,0,13.00,0.00,0.00
io_long,0,13.10,0.00,0.00
io_long,0,13.20,0.00,0.00
io_long,0,13.30,0.00,0.00
io_long,0,13.40,0.00,0.00
io_long,0,13.50,0.00,0.00
io_long,0,13.60,0.00,0.00
io_long,0,13.70,0.00,0.00
io_long,0,13.80,0.00,0.00
io_long,0,13.90,0.00,0.00
io_long,0,14.00,0.00,0.00
io_long,0,14.10,0.00,0.00
io_long,0,14.20,0.00,0.00
io_long,0,14.30,0.00,0.00
io_long,0,14.41,0.00,0.00
io_long,0,14.51,0.00,0.00
io_long,0,14.61,0.00,0.00
io_long,0,14.71,0.00,0.00
io_long,0,14.81,0.00,0.00
io_long,0,14.91,0.00,0.00
io_long,0,15.01,0.00,0.00
io_long,0,15.11,0.00,0.00
io_long,0,15.21,0.00,0.00
io_long,0,15.31,0.00,0.00
io_long,0,15.41,0.00,0.00
io_long,0,15.51,0.00,0.00
io_long,0,15.61,0.00,40643.75
io_long,0,15.72,0.00,0.00
io_long,0,15.82,0.00,0.00
io_long,0,15.92,0.00,0.00
io_long,0,16.02,0.00,0.00
io_long,0,16.12,0.00,0.00
io_long,0,16.22,0.00,0.00
io_long,0,16.32,0.00,0.00
io_long,0,16.42,0.00,0.00
io_long,0,16.52,0.00,0.00
io_long,0,16.62,0.00,0.00
io_long,0,16.72,0.00,0.00
io_long,0,16.82,0.00,0.00
io_long,0,16.92,0.00,0.00
io_long,0,17.03,0.00,0.00
io_long,0,17.13,0.00,0.00
io_long,0,17.23,0.00,0.00
io_long,0,17.33,0.00,0.00
io_long,0,17.43,0.00,0.00
io_long,0,17.53,0.00,0.00
io_long,0,17.63,0.00,0.00
io_long,0,17.73,0.00,0.00
io_long,0,17.83,0.00,0.00
io_long,0,17.93,0.00,0.00
io_long,0,18.03,0.00,0.00
io_long,0,18.13,0.00,0.00
io_long,0,18.23,0.00,0.00
io_long,0,18.34,0.00,0.00
io_long,0,18.44,0.00,0.00
io_long,0,18.54,0.00,0.00
io_long,0,18.64,0.00,0.00
io_long,0,18.74,0.00,0.00
io_long,0,18.84,0.00,0.00
io_long,0,18.94,0.00,0.00
io_long,0,19.04,0.00,0.00
io_long,0,19.14,0.00,0.00
io_long,0,19.24,0.00,0.00
io_long,0,19.34,0.00,0.00
io_long,0,19.44,0.00,0.00
io_long,0,19.54,0.00,0.00
io_long,0,19.64,0.00,0.00
io_long,0,19.75,0.00,0.00
io_long,0,19.85,0.00,10448311.03
io_long,0,19.95,0.00,0.00
io_long,0,20.05,0.00,0.00
io_long,0,20.15,0.00,0.00
io_long,0,20.25,0.00,0.00
io_long,0,20.35,0.00,0.00
io_long,0,20.45,0.00,0.00
io_long,0,20.55,0.00,0.00
io_long,0,20.65,0.00,0.00
io_long,0,20.75,0.00,0.00
io_long,0,20.85,0.00,0.00
io_long,0,20.95,0.00,0.00
io_long,0,21.06,0.00,0.00
io_long,0,21.16,0.00,0.00
io_long,0,21.26,0.00,0.00
io_long,0,21.36,0.00,0.00
io_long,0,21.46,0.00,0.00
io_long,0,21.56,0.00,0.00
io_long,0,21.66,0.00,0.00
io_long,0,21.76,0.00,0.00
io_long,0,21.86,0.00,0.00
io_long,0,21.96,0.00,0.00
io_long,0,22.06,0.00,0.00
io_long,0,22.16,0.00,0.00
io_long,0,22.26,0.00,0.00
io_long,0,22.36,0.00,0.00
io_long,0,22.46,0.00,0.00
io_long,0,22.57,0.00,0.00
io_long,0,22.67,0.00,0.00
io_long,0,22.77,0.00,0.00
io_long,0,22.87,0.00,0.00
io_long,0,22.97,0.00,0.00
io_long,0,23.07,0.00,0.00
io_long,0,23.17,0.00,0.00
io_long,0,23.27,0.00,0.00
io_long,0,23.37,0.00,0.00
io_long,0,23.47,0.00,0.00
io_long,0,23.57,0.00,0.00
io_long,0,23.67,0.00,0.00
io_long,0,23.77,0.00,0.00
io_long,0,23.87,0.00,0.00
io_long,0,23.98,0.00,0.00
io_long,0,24.08,0.00,0.00
