Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_low,0,2025-05-12 08:36:50.674625527,2025-05-12 08:36:53.933957398,3.25933
io_low,1,2025-05-12 08:36:53.939155872,2025-05-12 08:36:57.429711043,3.49056
io_low,2,2025-05-12 08:36:57.435045038,2025-05-12 08:37:00.641672579,3.20663
io_low,3,2025-05-12 08:37:00.646243451,2025-05-12 08:37:03.972932160,3.32669
io_low,4,2025-05-12 08:37:03.977680844,2025-05-12 08:37:07.210590288,3.23291
io_low,5,2025-05-12 08:37:07.215036161,2025-05-12 08:37:10.715404062,3.50037
io_low,6,2025-05-12 08:37:10.720200142,2025-05-12 08:37:13.926208152,3.20601
io_low,7,2025-05-12 08:37:13.930753243,2025-05-12 08:37:17.345672585,3.41492
io_low,8,2025-05-12 08:37:17.350119083,2025-05-12 08:37:20.549273569,3.19915
io_low,9,2025-05-12 08:37:20.554197305,2025-05-12 08:37:23.875199205,3.32100
