Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
io_low,0,0.00,0.00,0.00
io_low,0,0.10,0.00,2815589.33
io_low,0,0.20,0.00,2808937.56
io_low,0,0.30,0.00,2688733.94
io_low,0,0.40,0.00,2810609.21
io_low,0,0.50,0.00,2727111.96
io_low,0,0.60,0.00,2688230.35
io_low,0,0.70,0.00,2769389.85
io_low,0,0.80,0.00,2770716.63
io_low,0,0.91,0.00,2770900.64
io_low,0,1.01,0.00,2730333.43
io_low,0,1.11,0.00,2648454.00
io_low,0,1.21,0.00,2728721.74
io_low,0,1.31,0.00,2688867.83
io_low,0,1.41,0.00,2769698.44
io_low,1,0.00,0.00,0.00
io_low,1,0.10,0.00,2768359.51
io_low,1,0.20,0.00,2685588.00
io_low,1,0.30,0.00,2646884.60
io_low,1,0.40,0.00,2645072.69
io_low,1,0.50,0.00,2687166.42
io_low,1,0.60,0.00,610931.03
io_low,1,0.70,0.00,2485024.29
io_low,1,0.81,0.00,2769947.99
io_low,1,0.91,0.00,2770118.76
io_low,1,1.01,0.00,2810602.55
io_low,1,1.11,0.00,2689193.07
io_low,1,1.21,0.00,2852472.14
io_low,1,1.31,0.00,2852045.95
io_low,1,1.41,0.00,2811289.10
io_low,1,1.51,0.00,2811549.15
io_low,2,0.00,0.00,0.00
io_low,2,0.10,0.00,2810442.62
io_low,2,0.20,0.00,2810056.21
io_low,2,0.30,0.00,2811535.81
io_low,2,0.40,0.00,2810276.06
io_low,2,0.50,0.00,2769383.28
io_low,2,0.60,0.00,2770256.71
io_low,2,0.70,0.00,2811162.43
io_low,2,0.80,0.00,2687523.09
io_low,2,0.91,0.00,2729672.99
io_low,2,1.01,0.00,2766936.68
io_low,2,1.11,0.00,2769665.61
io_low,2,1.21,0.00,2770131.90
io_low,2,1.31,0.00,2688147.50
io_low,2,1.41,0.00,2688810.45
io_low,3,0.00,0.00,0.00
io_low,3,0.10,0.00,2773248.91
io_low,3,0.20,0.00,2728327.20
io_low,3,0.30,0.00,2727932.78
io_low,3,0.40,0.00,2688217.60
io_low,3,0.50,0.00,2646715.22
io_low,3,0.60,0.00,2684640.57
io_low,3,0.70,0.00,2648077.18
io_low,3,0.80,0.00,2485519.38
io_low,3,0.91,0.00,407371.37
io_low,3,1.01,0.00,2851559.03
io_low,3,1.11,0.00,2771091.24
io_low,3,1.21,0.00,2810955.78
io_low,3,1.31,0.00,2811622.50
io_low,3,1.41,0.00,2729860.73
io_low,3,1.51,0.00,2851748.37
io_low,4,0.00,0.00,0.00
io_low,4,0.10,0.00,2772281.49
io_low,4,0.20,0.00,2809749.83
io_low,4,0.30,0.00,2811322.44
io_low,4,0.40,0.00,2811689.19
io_low,4,0.50,0.00,2847946.18
io_low,4,0.60,0.00,2810889.13
io_low,4,0.70,0.00,2809903.01
io_low,4,0.80,0.00,2730022.59
io_low,4,0.91,0.00,2770670.63
io_low,4,1.01,0.00,2770585.20
io_low,4,1.11,0.00,2730042.02
io_low,4,1.21,0.00,2768543.21
io_low,4,1.31,0.00,2769002.56
io_low,4,1.41,0.00,2768831.93
io_low,5,0.00,0.00,0.00
io_low,5,0.10,0.00,2732050.76
io_low,5,0.20,0.00,2647028.91
io_low,5,0.30,0.00,2768018.43
io_low,5,0.40,0.00,2648215.33
io_low,5,0.50,0.00,2644634.19
io_low,5,0.60,0.00,2642894.16
io_low,5,0.70,0.00,2561835.05
io_low,5,0.81,0.00,2478799.60
io_low,5,0.91,0.00,2439802.48
io_low,5,1.01,0.00,2520872.66
io_low,5,1.11,0.00,2481064.85
io_low,5,1.21,0.00,203067.90
io_low,5,1.31,0.00,2642443.88
io_low,5,1.41,0.00,2639714.20
io_low,5,1.51,0.00,2561380.35
io_low,5,1.61,0.00,2682976.23
io_low,6,0.00,0.00,0.00
io_low,6,0.10,0.00,2853656.66
io_low,6,0.20,0.00,2850396.52
io_low,6,0.30,0.00,2811049.10
io_low,6,0.40,0.00,2810016.25
io_low,6,0.50,0.00,2769987.40
io_low,6,0.60,0.00,2891102.76
io_low,6,0.70,0.00,2766628.71
io_low,6,0.80,0.00,2809243.77
io_low,6,0.91,0.00,2810475.94
io_low,6,1.01,0.00,2770802.06
io_low,6,1.11,0.00,2811422.45
io_low,6,1.21,0.00,2770644.34
io_low,6,1.31,0.00,2687809.77
io_low,6,1.41,0.00,2729660.04
io_low,7,0.00,0.00,0.00
io_low,7,0.10,0.00,2773828.37
io_low,7,0.20,0.00,2726776.02
io_low,7,0.30,0.00,2602776.33
io_low,7,0.40,0.00,2563558.32
io_low,7,0.50,0.00,2604126.36
io_low,7,0.60,0.00,2602603.83
io_low,7,0.70,0.00,2643181.92
io_low,7,0.81,0.00,2477732.96
io_low,7,0.91,0.00,2596200.37
io_low,7,1.01,0.00,2604003.01
io_low,7,1.11,0.00,2481105.97
io_low,7,1.21,0.00,2562550.78
io_low,7,1.31,0.00,2439998.84
io_low,7,1.41,0.00,2277677.31
io_low,7,1.51,0.00,488235.53
io_low,7,1.61,0.00,2639658.04
io_low,8,0.00,0.00,0.00
io_low,8,0.10,0.00,2813824.91
io_low,8,0.20,0.00,2809956.30
io_low,8,0.30,0.00,2770381.53
io_low,8,0.40,0.00,2811309.10
io_low,8,0.50,0.00,2851166.92
io_low,8,0.60,0.00,2852120.35
io_low,8,0.70,0.00,2809969.62
io_low,8,0.80,0.00,2810162.80
io_low,8,0.91,0.00,2811462.46
io_low,8,1.01,0.00,2810789.15
io_low,8,1.11,0.00,2852627.76
io_low,8,1.21,0.00,2808531.60
io_low,8,1.31,0.00,2728294.87
io_low,8,1.41,0.00,2729608.26
io_low,9,0.00,0.00,0.00
io_low,9,0.10,0.00,2773413.51
io_low,9,0.20,0.00,2686472.45
io_low,9,0.30,0.00,2644903.53
io_low,9,0.40,0.00,2600025.13
io_low,9,0.50,0.00,2643394.65
io_low,9,0.60,0.00,2643619.94
io_low,9,0.71,0.00,2438238.51
io_low,9,0.81,0.00,2604218.88
io_low,9,0.91,0.00,2603047.46
io_low,9,1.01,0.00,2600898.48
io_low,9,1.11,0.00,2599693.17
io_low,9,1.21,0.00,2603515.90
io_low,9,1.31,0.00,2603645.37
io_low,9,1.41,0.00,2481758.16
io_low,9,1.51,0.00,2480530.44
