Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_medium,0,2025-05-12 08:38:01.349994741,2025-05-12 08:38:33.271429136,31.92143
io_medium,1,2025-05-12 08:38:33.275853759,2025-05-12 08:39:02.434151112,29.15830
io_medium,2,2025-05-12 08:39:02.439476618,2025-05-12 08:39:30.805519706,28.36604
io_medium,3,2025-05-12 08:39:30.810032922,2025-05-12 08:40:03.239669943,32.42964
io_medium,4,2025-05-12 08:40:03.244425450,2025-05-12 08:40:31.691190948,28.44676
io_medium,5,2025-05-12 08:40:31.695639893,2025-05-12 08:41:03.388876847,31.69324
io_medium,6,2025-05-12 08:41:03.393601509,2025-05-12 08:41:35.908554688,32.51495
io_medium,7,2025-05-12 08:41:35.913294189,2025-05-12 08:42:03.667885222,27.75459
io_medium,8,2025-05-12 08:42:03.672470602,2025-05-12 08:42:34.113535261,30.44106
io_medium,9,2025-05-12 08:42:34.118100377,2025-05-12 08:43:01.865333561,27.74723
