Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
io_medium,0,0.00,0.00,0.00
io_medium,0,0.10,0.00,2926149.23
io_medium,0,0.20,0.00,407271.90
io_medium,0,0.30,0.00,3504307.84
io_medium,0,0.40,0.00,3462451.41
io_medium,0,0.50,0.00,3422203.54
io_medium,0,0.60,0.00,3421586.88
io_medium,0,0.70,0.00,3420094.83
io_medium,0,0.81,0.00,3458351.40
io_medium,0,0.91,0.00,3462615.61
io_medium,0,1.01,0.00,3420897.45
io_medium,0,1.11,0.00,3502397.21
io_medium,0,1.21,0.00,3421668.01
io_medium,0,1.31,0.00,3014905.60
io_medium,0,1.41,0.00,0.00
io_medium,0,1.51,0.00,0.00
io_medium,0,1.61,0.00,0.00
io_medium,0,1.71,0.00,0.00
io_medium,0,1.81,0.00,0.00
io_medium,0,1.91,0.00,0.00
io_medium,0,2.01,0.00,0.00
io_medium,0,2.11,0.00,0.00
io_medium,0,2.21,0.00,0.00
io_medium,0,2.31,0.00,0.00
io_medium,0,2.41,0.00,0.00
io_medium,0,2.51,0.00,0.00
io_medium,0,2.61,0.00,0.00
io_medium,0,2.71,0.00,0.00
io_medium,0,2.82,0.00,0.00
io_medium,0,2.92,0.00,0.00
io_medium,0,3.02,0.00,0.00
io_medium,0,3.12,0.00,366935.28
io_medium,0,3.22,0.00,3462098.42
io_medium,0,3.32,0.00,3177602.19
io_medium,0,3.42,0.00,3462270.80
io_medium,0,3.52,0.00,3462648.45
io_medium,0,3.62,0.00,3422982.80
io_medium,0,3.72,0.00,3421887.07
io_medium,0,3.82,0.00,3341047.35
io_medium,0,3.92,0.00,3298495.79
io_medium,0,4.02,0.00,3214552.22
io_medium,0,4.12,0.00,3206373.17
io_medium,0,4.22,0.00,3214339.06
io_medium,0,4.32,0.00,3170144.99
io_medium,0,4.42,0.00,3131472.69
io_medium,0,4.53,0.00,3213425.80
io_medium,0,4.63,0.00,3171690.68
io_medium,0,4.73,0.00,3209747.58
io_medium,0,4.83,0.00,3090036.16
io_medium,0,4.93,0.00,3173688.80
io_medium,0,5.03,0.00,3131539.40
io_medium,0,5.13,0.00,3173628.67
io_medium,0,5.23,0.00,3132110.32
io_medium,0,5.33,0.00,3252330.97
io_medium,0,5.43,0.00,3214186.81
io_medium,0,5.53,0.00,690447.18
io_medium,0,5.63,0.00,2074067.75
io_medium,0,5.73,0.00,3250431.10
io_medium,0,5.84,0.00,3290944.75
io_medium,0,5.94,0.00,3255312.15
io_medium,0,6.04,0.00,3214042.19
io_medium,0,6.14,0.00,3334270.46
io_medium,0,6.24,0.00,3295730.34
io_medium,0,6.34,0.00,3129761.25
io_medium,0,6.44,0.00,3294123.20
io_medium,0,6.54,0.00,3252746.62
io_medium,0,6.64,0.00,3209132.83
io_medium,0,6.74,0.00,3294856.36
io_medium,0,6.84,0.00,3294965.58
io_medium,0,6.94,0.00,3254464.23
io_medium,0,7.04,0.00,3211600.83
io_medium,0,7.14,0.00,3210468.88
io_medium,0,7.25,0.00,3203398.96
io_medium,0,7.35,0.00,3211654.03
io_medium,0,7.45,0.00,3214384.73
io_medium,0,7.55,0.00,3131383.73
io_medium,0,7.65,0.00,3166983.27
io_medium,0,7.75,0.00,3211023.36
io_medium,0,7.85,0.00,3092290.19
io_medium,0,7.95,0.00,3171435.46
io_medium,0,8.05,0.00,3133007.90
io_medium,0,8.15,0.00,3091375.01
io_medium,0,8.25,0.00,3090694.46
io_medium,0,8.35,0.00,3171938.43
io_medium,0,8.45,0.00,3092026.57
io_medium,0,8.56,0.00,3130835.31
io_medium,0,8.66,0.00,3172013.51
