Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
control,0,1745314000.1046493,1745314034.221792,34.11714267730713
control,1,1745314034.8721683,1745314068.500633,33.628464698791504
control,2,1745314069.2455444,1745314102.7665746,33.52103018760681
control,3,1745314103.3148491,1745314137.0476377,33.73278856277466
control,4,1745314137.611474,1745314171.2130015,33.60152745246887
control,5,1745314171.7872097,1745314205.257175,33.46996521949768
control,6,1745314205.8930266,1745314239.38264,33.48961329460144
control,7,1745314239.9755614,1745314273.4733276,33.4977662563324
control,8,1745314274.06278,1745314307.8108,33.74802017211914
control,9,1745314308.3477447,1745314341.9927306,33.64498591423035
