Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
control,0,0.00,0.00,0.00
control,0,0.10,32635444.65,0.00
control,0,0.20,35140724.71,0.00
control,0,0.30,32565771.43,0.00
control,0,0.40,33861983.49,0.00
control,0,0.50,32578508.42,0.00
control,0,0.60,33829445.54,0.00
control,0,0.70,32547802.22,0.00
control,0,0.81,32567006.10,0.00
control,0,0.91,31212996.84,0.00
control,0,1.01,32557902.64,0.00
control,0,1.11,32584533.01,0.00
control,0,1.21,35174950.41,0.00
control,0,1.31,33870087.63,0.00
control,0,1.41,33870488.93,0.00
control,0,1.51,33873699.63,0.00
control,0,1.61,32581520.44,0.00
control,0,1.71,33882050.33,0.00
control,0,1.81,32574570.47,0.00
control,0,1.91,32548727.19,0.00
control,0,2.01,32570942.22,0.00
control,0,2.11,31274478.49,0.00
control,0,2.21,32575342.54,0.00
control,0,2.31,33854524.69,0.00
control,0,2.42,35126587.55,0.00
control,0,2.52,33882050.33,0.00
control,0,2.62,33855005.81,0.00
control,0,2.72,32556514.43,0.00
control,0,2.82,33884620.60,0.00
control,0,2.92,32577350.10,0.00
control,0,3.02,32577736.20,0.00
control,0,3.12,32576655.15,0.00
control,0,3.22,32581365.96,0.00
control,0,3.32,31267215.35,0.00
control,0,3.42,33878918.33,0.00
control,0,3.52,35178034.83,0.00
control,0,3.62,33881970.01,0.00
control,0,3.72,33892012.30,0.00
control,0,3.82,32576500.72,0.00
control,0,3.92,33844985.43,0.00
control,0,4.03,32580123.56,0.00
control,0,4.13,32574338.86,0.00
control,0,4.23,32585614.58,0.00
control,0,4.33,32556977.15,0.00
control,0,4.43,32589014.28,0.00
control,0,4.53,31278704.52,0.00
control,0,4.63,32572094.69,0.00
control,0,4.73,30969177.93,0.00
control,0,4.83,33678398.46,0.00
control,0,4.93,31219791.57,0.00
control,0,5.03,32446988.40,0.00
control,0,5.13,31207446.06,0.00
control,0,5.23,31230284.90,0.00
control,0,5.34,31188501.30,0.00
control,0,5.44,29901773.90,0.00
control,0,5.54,31238936.11,0.00
control,0,5.64,31222434.94,0.00
control,0,5.74,32533856.98,0.00
control,0,5.84,32525233.86,0.00
control,0,5.94,31235386.31,0.00
control,0,6.04,28600005.92,0.00
control,0,6.14,29923073.53,0.00
control,0,6.24,32513465.23,0.00
control,0,6.34,31209895.88,0.00
control,0,6.44,29885165.69,0.00
control,0,6.54,31201924.82,0.00
control,0,6.65,31204507.59,0.00
control,0,6.75,31234111.13,0.00
control,0,6.85,31195875.43,0.00
control,0,6.95,31203400.63,0.00
control,0,7.05,32437569.12,0.00
control,0,7.15,32531700.77,0.00
control,0,7.25,32519003.26,0.00
control,0,7.35,33812080.20,0.00
control,0,7.45,32546183.65,0.00
control,0,7.55,31222377.30,0.00
control,0,7.65,31212775.32,0.00
control,0,7.75,31192397.83,0.00
control,0,7.86,31226367.55,0.00
control,0,7.96,32508001.34,0.00
control,0,8.06,29866388.86,0.00
control,0,8.16,32542022.35,0.00
control,0,8.26,32494474.31,0.00
control,0,8.36,32480737.11,0.00
control,0,8.46,31171701.32,0.00
control,0,8.56,29923427.60,0.00
control,0,8.66,31213366.04,0.00
control,0,8.76,31190418.24,0.00
control,0,8.86,32469382.20,0.00
control,0,8.96,31196834.32,0.00
control,0,9.07,31220160.93,0.00
control,0,9.17,31225185.15,0.00
control,0,9.27,31224815.66,0.00
control,0,9.37,31232484.81,0.00
control,0,9.47,32494243.83,0.00
control,0,9.57,31211077.13,0.00
control,0,9.67,32466533.63,0.00
control,0,9.77,31199268.70,0.00
control,0,9.87,32498706.37,0.00
control,0,9.97,31145211.85,0.00
control,0,10.07,31218905.13,0.00
control,0,10.17,31207459.85,0.00
control,0,10.27,31232502.70,0.00
control,0,10.38,31233981.41,0.00
control,0,10.48,31203018.60,0.00
control,0,10.58,33842341.04,0.00
control,0,10.68,32544334.05,0.00
control,0,10.78,32470982.49,0.00
control,0,10.88,31196244.23,0.00
control,0,10.98,32485112.41,0.00
control,0,11.08,31216024.56,0.00
control,0,11.18,30781759.62,0.00
control,0,11.28,31202441.34,0.00
control,0,11.39,31220751.93,0.00
control,0,11.49,31208700.73,0.00
control,0,11.59,31218092.61,0.00
control,0,11.69,31215212.19,0.00
control,0,11.79,32514615.24,0.00
control,0,11.89,32509462.32,0.00
control,0,11.99,31209586.44,0.00
control,0,12.09,32537091.83,0.00
control,0,12.19,32532162.79,0.00
control,0,12.29,31220013.19,0.00
