Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
experiment,0,1745315602.2069225,1745315636.5735414,34.36661887168884
experiment,1,1745315638.4802032,1745315672.2389164,33.758713245391846
experiment,2,1745315677.5628045,1745315711.8356485,34.272844076156616
experiment,3,1745315714.3024666,1745315748.5068378,34.204371213912964
experiment,4,1745315750.749189,1745315785.460368,34.71117901802063
experiment,5,1745315787.4909065,1745315822.1394808,34.648574352264404
experiment,6,1745315824.0820403,1745315858.6141877,34.53214740753174
experiment,7,1745315860.5376947,1745315895.0535069,34.515812158584595
experiment,8,1745315897.0360115,1745315931.660861,34.62484955787659
experiment,9,1745315933.5778885,1745315967.96228,34.38439154624939
