Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
experiment,0,0.00,0.00,0.00
experiment,0,0.10,33938364.21,0.00
experiment,0,0.20,33866636.88,0.00
experiment,0,0.30,33866075.19,0.00
experiment,0,0.40,33842901.94,0.00
experiment,0,0.50,32562685.18,0.00
experiment,0,0.60,32557594.14,0.00
experiment,0,0.70,32555511.90,0.00
experiment,0,0.81,32566002.93,0.00
experiment,0,0.91,31228067.41,0.00
experiment,0,1.01,32564382.55,0.00
experiment,0,1.11,32554123.89,0.00
experiment,0,1.21,33835852.02,0.00
experiment,0,1.31,33863347.28,0.00
experiment,0,1.41,32554972.10,0.00
experiment,0,1.51,33847870.69,0.00
experiment,0,1.61,32562068.00,0.00
experiment,0,1.71,33801365.81,0.00
experiment,0,1.81,32562608.03,0.00
experiment,0,1.91,31278259.62,0.00
experiment,0,2.01,32581288.72,0.00
experiment,0,2.11,31256030.79,0.00
experiment,0,2.21,31247666.12,0.00
experiment,0,2.32,31060162.32,0.00
experiment,0,2.42,32353574.12,0.00
experiment,0,2.52,32557285.64,0.00
experiment,0,2.62,31227180.50,0.00
experiment,0,2.72,31258104.14,0.00
experiment,0,2.82,32566157.26,0.00
experiment,0,2.92,33791776.58,0.00
experiment,0,3.02,32532932.86,0.00
experiment,0,3.12,29937739.06,0.00
experiment,0,3.22,32571636.93,0.00
experiment,0,3.32,32572872.04,0.00
experiment,0,3.42,28398611.62,0.00
experiment,0,3.53,31261140.62,0.00
experiment,0,3.63,31259437.16,0.00
experiment,0,3.73,31219865.44,0.00
experiment,0,3.83,32543332.28,0.00
experiment,0,3.93,33863507.74,0.00
experiment,0,4.03,32547725.14,0.00
experiment,0,4.13,32559059.58,0.00
experiment,0,4.23,32560293.73,0.00
experiment,0,4.33,31197793.27,0.00
experiment,0,4.43,31223633.38,0.00
experiment,0,4.53,32501774.43,0.00
experiment,0,4.63,29923073.53,0.00
experiment,0,4.73,31228289.14,0.00
experiment,0,4.83,31192335.41,0.00
experiment,0,4.94,31194842.84,0.00
experiment,0,5.04,31198826.06,0.00
experiment,0,5.14,31213587.57,0.00
experiment,0,5.24,31201113.18,0.00
experiment,0,5.34,32481419.10,0.00
experiment,0,5.44,29915427.65,0.00
experiment,0,5.54,31190786.91,0.00
experiment,0,5.64,31200080.24,0.00
experiment,0,5.74,31173616.19,0.00
experiment,0,5.84,31188280.13,0.00
experiment,0,5.94,33782991.24,0.00
experiment,0,6.04,32476199.96,0.00
experiment,0,6.15,29898945.67,0.00
experiment,0,6.25,29877044.99,0.00
experiment,0,6.35,28560497.00,0.00
experiment,0,6.45,31183046.69,0.00
experiment,0,6.55,29842211.43,0.00
experiment,0,6.65,31167504.15,0.00
experiment,0,6.75,28595475.43,0.00
experiment,0,6.85,29892937.45,0.00
experiment,0,6.95,31205097.99,0.00
experiment,0,7.05,31212258.46,0.00
experiment,0,7.15,31158009.47,0.00
experiment,0,7.26,29897461.06,0.00
experiment,0,7.36,27306656.54,0.00
experiment,0,7.46,31220013.19,0.00
experiment,0,7.56,31199121.15,0.00
experiment,0,7.66,29881210.71,0.00
experiment,0,7.76,32516692.25,0.00
experiment,0,7.86,31211963.12,0.00
experiment,0,7.96,32519846.74,0.00
experiment,0,8.06,31209822.06,0.00
experiment,0,8.16,31164191.40,0.00
experiment,0,8.26,29884812.53,0.00
experiment,0,8.36,31133453.20,0.00
experiment,0,8.47,32438564.39,0.00
experiment,0,8.57,32484950.65,0.00
experiment,0,8.67,32520308.42,0.00
experiment,0,8.77,32507616.90,0.00
experiment,0,8.87,32520539.27,0.00
experiment,0,8.97,32536398.59,0.00
experiment,0,9.07,31199711.35,0.00
experiment,0,9.17,29909129.81,0.00
experiment,0,9.27,28602305.53,0.00
experiment,0,9.37,29890746.82,0.00
experiment,0,9.47,29908139.38,0.00
experiment,0,9.57,31190344.51,0.00
experiment,0,9.68,28595745.87,0.00
experiment,0,9.78,31182899.30,0.00
experiment,0,9.88,32485104.22,0.00
experiment,0,9.98,32499161.38,0.00
experiment,0,10.08,31159849.08,0.00
experiment,0,10.18,31194031.57,0.00
experiment,0,10.28,28583040.85,0.00
experiment,0,10.38,31210855.64,0.00
experiment,0,10.48,28580001.43,0.00
experiment,0,10.58,28622544.48,0.00
experiment,0,10.68,28555641.90,0.00
experiment,0,10.78,31217280.13,0.00
experiment,0,10.89,32478425.57,0.00
experiment,0,10.99,32473514.29,0.00
experiment,0,11.09,31192777.87,0.00
experiment,0,11.19,31178772.79,0.00
experiment,0,11.29,31198973.60,0.00
experiment,0,11.39,31168534.93,0.00
experiment,0,11.49,31188575.03,0.00
experiment,0,11.59,31168166.79,0.00
experiment,0,11.69,31169418.51,0.00
experiment,0,11.79,29864625.33,0.00
experiment,0,11.89,31183709.99,0.00
experiment,0,12.00,28585878.23,0.00
experiment,0,12.10,31228806.54,0.00
experiment,0,12.20,32467914.18,0.00
experiment,0,12.30,33633228.30,0.00
experiment,0,12.40,32500237.29,0.00
experiment,0,12.50,32517769.32,0.00
experiment,0,12.60,31222377.30,0.00
experiment,0,12.70,31234425.05,0.00
experiment,0,12.80,31169271.24,0.00
experiment,0,12.90,31199416.25,0.00
experiment,0,13.00,31237900.67,0.00
experiment,0,13.11,31130221.13,0.00
experiment,0,13.21,31198235.89,0.00
experiment,0,13.31,31207016.97,0.00
experiment,0,13.41,29885095.06,0.00
experiment,0,13.51,29907290.50,0.00
experiment,0,13.61,28569267.32,0.00
experiment,0,13.71,27266477.78,0.00
experiment,0,13.81,31190197.04,0.00
experiment,0,13.91,32505771.68,0.00
experiment,0,14.01,29913658.33,0.00
experiment,0,14.11,32483798.98,0.00
experiment,0,14.21,32477734.83,0.00
experiment,0,14.32,32492169.68,0.00
experiment,0,14.42,31200818.05,0.00
experiment,0,14.52,31170817.61,0.00
experiment,0,14.62,31165737.26,0.00
experiment,0,14.72,31184668.13,0.00
experiment,0,14.82,31172364.14,0.00
experiment,0,14.92,31205319.40,0.00
experiment,0,15.02,31127136.60,0.00
experiment,0,15.12,28561845.93,0.00
experiment,0,15.22,32484336.42,0.00
experiment,0,15.32,29900854.67,0.00
experiment,0,15.43,31200596.70,0.00
experiment,0,15.53,31203622.02,0.00
experiment,0,15.63,32488482.97,0.00
experiment,0,15.73,32518000.14,0.00
experiment,0,15.83,31222155.65,0.00
experiment,0,15.93,32452351.41,0.00
experiment,0,16.03,31193884.07,0.00
experiment,0,16.13,31192040.45,0.00
experiment,0,16.23,31204802.79,0.00
experiment,0,16.33,31166547.06,0.00
experiment,0,16.43,31207459.85,0.00
experiment,0,16.53,32431904.86,0.00
experiment,0,16.64,31178920.15,0.00
experiment,0,16.74,31146829.36,0.00
experiment,0,16.84,31193736.57,0.00
experiment,0,16.94,28585472.85,0.00
experiment,0,17.04,29815260.69,0.00
experiment,0,17.14,29888203.26,0.00
experiment,0,17.24,31215950.71,0.00
experiment,0,17.34,31195432.88,0.00
experiment,0,17.44,31189533.47,0.00
experiment,0,17.54,31210043.53,0.00
experiment,0,17.64,32488790.16,0.00
experiment,0,17.75,32519231.18,0.00
experiment,0,17.85,32515846.03,0.00
experiment,0,17.95,32501005.84,0.00
experiment,0,18.05,31705511.47,0.00
experiment,0,18.15,29862791.49,0.00
experiment,0,18.25,27315960.30,0.00
experiment,0,18.35,31190049.58,0.00
experiment,0,18.45,31212923.00,0.00
experiment,0,18.55,29889686.95,0.00
experiment,0,18.66,31173689.85,0.00
experiment,0,18.76,31213218.36,0.00
experiment,0,18.86,31183120.39,0.00
experiment,0,18.96,29811464.76,0.00
experiment,0,19.06,32437722.23,0.00
experiment,0,19.16,31214252.17,0.00
experiment,0,19.26,32479883.89,0.00
experiment,0,19.36,31177962.36,0.00
experiment,0,19.46,32493398.78,0.00
experiment,0,19.56,31223855.05,0.00
experiment,0,19.66,32493552.42,0.00
experiment,0,19.76,31223263.93,0.00
experiment,0,19.87,32521616.60,0.00
experiment,0,19.97,33769343.10,0.00
experiment,0,20.07,31227402.23,0.00
experiment,0,20.17,31162424.88,0.00
experiment,0,20.27,27300586.67,0.00
experiment,0,20.37,31209157.65,0.00
experiment,0,20.47,29815471.60,0.00
experiment,0,20.57,31202441.34,0.00
experiment,0,20.67,31207459.85,0.00
experiment,0,20.77,31196760.56,0.00
experiment,0,20.87,29874574.35,0.00
experiment,0,20.98,31204064.79,0.00
experiment,0,21.08,31202441.34,0.00
experiment,0,21.18,31205909.84,0.00
experiment,0,21.28,33813120.02,0.00
experiment,0,21.38,32475509.32,0.00
experiment,0,21.48,31208862.37,0.00
experiment,0,21.58,29882411.22,0.00
experiment,0,21.68,32475432.58,0.00
experiment,0,21.78,32524387.20,0.00
experiment,0,21.88,31184078.50,0.00
experiment,0,21.98,31210781.81,0.00
experiment,0,22.08,31216910.83,0.00
experiment,0,22.18,29911464.66,0.00
experiment,0,22.29,28504964.44,0.00
experiment,0,22.39,28584999.93,0.00
experiment,0,22.49,31074573.32,121385.05
experiment,0,22.59,31206205.07,0.00
experiment,0,22.69,31185773.76,0.00
experiment,0,22.79,31118767.37,0.00
experiment,0,22.89,31211372.45,0.00
experiment,0,22.99,32502696.79,0.00
experiment,0,23.09,31217206.27,0.00
experiment,0,23.19,31211520.12,0.00
experiment,0,23.29,31215433.74,0.00
experiment,0,23.40,31208345.63,0.00
experiment,0,23.50,32496241.40,0.00
experiment,0,23.60,32522078.33,0.00
experiment,0,23.70,33800086.93,0.00
experiment,0,23.80,32513461.46,0.00
experiment,0,23.90,31200227.80,0.00
experiment,0,24.00,32517384.65,0.00
experiment,0,24.10,29843127.06,0.00
experiment,0,24.20,28589189.21,0.00
experiment,0,24.30,27253604.37,0.00
experiment,0,24.40,28569199.84,0.00
experiment,0,24.51,28609747.97,0.00
experiment,0,24.61,31137935.14,0.00
experiment,0,24.71,31196244.23,0.00
experiment,0,24.81,32485334.56,0.00
experiment,0,24.91,33806162.46,0.00
experiment,0,25.01,32502235.60,0.00
experiment,0,25.11,29887708.73,0.00
experiment,0,25.21,29901844.61,0.00
experiment,0,25.31,31195801.67,0.00
experiment,0,25.41,32516461.46,0.00
experiment,0,25.51,31173542.54,0.00
experiment,0,25.61,31183194.09,0.00
experiment,0,25.72,31217132.41,0.00
experiment,0,25.82,31190565.71,0.00
experiment,0,25.92,31202146.18,0.00
experiment,0,26.02,32495396.25,0.00
experiment,0,26.12,29865260.18,0.00
experiment,0,26.22,31179509.59,0.00
experiment,0,26.32,31144403.16,0.00
experiment,0,26.42,29905592.87,0.00
experiment,0,26.52,32452044.91,0.00
experiment,0,26.62,32491631.99,0.00
experiment,0,26.72,31217353.99,0.00
experiment,0,26.82,29910261.81,0.00
experiment,0,26.93,31216541.55,0.00
experiment,0,27.03,29893432.15,0.00
experiment,0,27.13,28591757.44,0.00
experiment,0,27.23,31205762.23,0.00
