Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_long,0,1744710686.829862,1744710720.013657,33.18379497528076
memory_long,1,1744710734.4469357,1744710771.656104,37.209168434143066
memory_long,2,1744710785.0925415,1744710826.8416572,41.74911570549011
memory_long,3,1744710838.8322377,1744710874.5812411,35.749003410339355
memory_long,4,1744710888.8810298,1744710921.9423404,33.06131052970886
memory_long,5,1744710936.2858825,1744710980.8923187,44.606436252593994
memory_long,6,1744710995.8009367,1744711032.613421,36.81248426437378
memory_long,7,1744711045.8621848,1744711075.5368824,29.674697637557983
memory_long,8,1744711089.7440112,1744711118.8170066,29.07299542427063
memory_long,9,1744711133.0529876,1744711167.1892362,34.13624858856201
