Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_medium,0,1744710451.36841,1744710459.4702456,8.101835489273071
memory_medium,1,1744710472.6290166,1744710476.3904397,3.761423110961914
memory_medium,2,1744710488.2223783,1744710490.0479283,1.8255500793457031
memory_medium,3,1744710501.9840906,1744710510.007339,8.023248434066772
memory_medium,4,1744710523.2945693,1744710525.953763,2.659193754196167
memory_medium,5,1744710537.0265691,1744710544.4214792,7.394910097122192
memory_medium,6,1744710557.5544991,1744710564.2930791,6.738579988479614
memory_medium,7,1744710578.0041306,1744710582.8026538,4.798523187637329
memory_medium,8,1744710596.156923,1744710603.1849968,7.028073787689209
memory_medium,9,1744710616.7623012,1744710622.792774,6.030472755432129
