Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_long,0,0.00,27.53
memory_long,0,0.10,72.66
memory_long,0,0.20,118.16
memory_long,0,0.30,157.28
memory_long,0,0.40,163.28
memory_long,0,0.50,165.28
memory_long,0,0.61,167.28
memory_long,0,0.71,171.28
memory_long,0,0.81,171.28
memory_long,0,0.91,171.28
memory_long,0,1.01,171.28
memory_long,0,1.11,179.28
memory_long,0,1.21,192.16
memory_long,0,1.31,225.41
memory_long,0,1.41,233.03
memory_long,0,1.51,237.03
memory_long,0,1.61,237.03
memory_long,0,1.71,237.03
memory_long,0,1.81,237.03
memory_long,0,1.91,241.03
memory_long,0,2.01,243.03
memory_long,0,2.12,245.03
memory_long,0,2.22,258.78
memory_long,0,2.32,260.66
memory_long,0,2.42,264.66
memory_long,0,2.52,264.66
memory_long,0,2.62,264.53
memory_long,0,2.72,266.41
memory_long,0,2.82,265.78
memory_long,0,2.92,264.16
memory_long,0,3.02,253.41
memory_long,0,3.12,252.28
memory_long,0,3.22,250.91
memory_long,0,3.32,248.91
memory_long,0,3.42,250.78
memory_long,0,3.52,253.03
memory_long,0,3.63,254.03
memory_long,0,3.73,254.53
memory_long,0,3.83,251.91
memory_long,0,3.93,250.41
memory_long,0,4.60,254.66
memory_long,0,4.70,255.03
memory_long,0,4.80,253.41
memory_long,0,4.90,252.41
memory_long,0,5.00,253.16
memory_long,0,5.10,253.03
memory_long,0,5.21,252.91
memory_long,0,5.31,256.53
memory_long,0,5.41,256.28
memory_long,0,5.51,254.41
memory_long,0,5.61,254.16
memory_long,0,5.71,253.53
memory_long,0,6.04,252.16
memory_long,0,6.14,253.03
memory_long,0,6.24,253.28
memory_long,0,6.35,251.78
memory_long,0,6.45,252.66
memory_long,0,6.55,251.16
memory_long,0,6.65,250.03
memory_long,0,6.75,250.03
memory_long,0,6.85,249.91
memory_long,0,6.95,249.41
memory_long,0,7.05,257.16
memory_long,0,7.15,256.41
memory_long,0,7.25,254.78
memory_long,0,7.35,253.53
memory_long,0,7.45,252.66
memory_long,0,7.55,242.16
memory_long,0,7.65,241.53
memory_long,0,7.76,241.28
memory_long,0,7.86,241.28
memory_long,0,7.96,241.16
memory_long,0,8.06,246.16
memory_long,0,8.16,244.16
memory_long,0,8.26,241.28
memory_long,0,8.36,242.91
memory_long,0,8.46,242.91
memory_long,0,8.56,248.66
memory_long,0,8.66,248.66
memory_long,0,8.76,248.66
memory_long,0,8.86,256.16
memory_long,0,8.96,255.91
memory_long,0,9.06,255.53
memory_long,0,9.17,255.16
memory_long,0,9.27,255.16
memory_long,0,9.37,254.78
memory_long,0,9.47,254.41
memory_long,0,9.57,259.91
memory_long,0,9.67,259.41
memory_long,0,9.77,259.03
memory_long,0,9.87,258.53
memory_long,0,9.97,257.66
memory_long,0,10.07,257.28
memory_long,0,10.17,257.03
memory_long,0,10.27,256.53
memory_long,0,10.38,257.91
memory_long,0,10.48,256.53
memory_long,0,10.58,255.78
memory_long,0,10.68,255.28
memory_long,0,10.78,254.53
memory_long,0,10.88,253.66
memory_long,0,10.98,253.03
memory_long,0,11.08,254.03
memory_long,0,11.18,253.41
