Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_medium,0,0.00,31.78
memory_medium,0,0.10,78.16
memory_medium,0,0.20,124.78
memory_medium,0,0.30,170.91
memory_medium,0,0.41,208.03
memory_medium,1,0.00,25.73
memory_medium,1,0.10,72.61
memory_medium,1,0.20,119.36
memory_medium,1,0.30,165.86
memory_medium,1,0.40,206.98
memory_medium,1,0.51,208.98
memory_medium,1,0.61,208.98
memory_medium,1,0.71,210.98
memory_medium,1,0.81,214.98
memory_medium,1,0.91,214.98
memory_medium,2,0.00,25.78
memory_medium,2,0.10,71.78
memory_medium,2,0.20,117.41
memory_medium,2,0.30,163.91
memory_medium,2,0.40,210.66
memory_medium,3,0.00,25.91
memory_medium,3,0.10,71.66
memory_medium,3,0.20,118.04
memory_medium,3,0.30,164.41
memory_medium,3,0.41,210.41
memory_medium,4,0.00,25.91
memory_medium,4,0.10,70.53
memory_medium,4,0.20,114.53
memory_medium,4,0.30,159.41
memory_medium,4,0.40,205.41
memory_medium,5,0.00,25.91
memory_medium,5,0.10,69.91
memory_medium,5,0.20,111.16
memory_medium,5,0.30,156.66
memory_medium,5,0.40,202.16
memory_medium,6,0.00,25.61
memory_medium,6,0.10,70.99
memory_medium,6,0.20,116.11
memory_medium,6,0.30,162.11
memory_medium,6,0.40,207.74
memory_medium,7,0.00,25.66
memory_medium,7,0.10,71.41
memory_medium,7,0.20,117.66
memory_medium,7,0.30,163.41
memory_medium,7,0.40,209.41
memory_medium,8,0.00,25.77
memory_medium,8,0.10,70.77
memory_medium,8,0.20,116.02
memory_medium,8,0.30,161.27
memory_medium,8,0.40,207.52
memory_medium,9,0.00,25.90
memory_medium,9,0.10,71.90
memory_medium,9,0.20,118.28
memory_medium,9,0.30,164.15
memory_medium,9,0.40,211.28
