Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_medium,0,0.00,25.29
memory_medium,0,0.10,71.54
memory_medium,0,0.20,114.29
memory_medium,0,0.30,122.04
memory_medium,0,0.40,135.79
memory_medium,0,0.51,139.66
memory_medium,0,0.61,139.66
memory_medium,0,0.71,143.66
memory_medium,0,0.81,143.66
memory_medium,0,0.91,147.66
memory_medium,0,1.01,149.66
memory_medium,0,1.11,149.66
memory_medium,0,1.21,153.66
memory_medium,0,1.31,155.66
memory_medium,0,1.41,157.66
memory_medium,0,1.51,159.66
memory_medium,0,1.61,161.66
memory_medium,0,1.71,161.66
memory_medium,0,1.81,163.66
memory_medium,0,1.91,170.41
memory_medium,0,2.01,173.41
memory_medium,0,2.12,173.41
memory_medium,0,2.22,177.41
memory_medium,0,2.32,179.41
memory_medium,0,2.42,183.41
memory_medium,0,2.52,185.41
memory_medium,0,2.62,187.41
memory_medium,0,2.72,191.41
memory_medium,0,2.82,193.41
memory_medium,0,2.92,195.41
memory_medium,0,3.02,195.41
memory_medium,0,3.12,197.29
memory_medium,0,3.22,199.29
memory_medium,0,3.32,199.29
memory_medium,0,3.42,211.16
memory_medium,0,3.52,211.16
memory_medium,0,3.63,213.04
memory_medium,0,3.73,213.04
memory_medium,0,3.83,213.04
memory_medium,0,4.09,215.04
memory_medium,1,0.00,24.92
memory_medium,1,0.10,69.92
memory_medium,1,0.20,112.42
memory_medium,1,0.31,144.04
memory_medium,1,0.41,186.54
memory_medium,1,0.51,206.92
memory_medium,1,1.36,16.07
memory_medium,2,0.00,24.75
memory_medium,2,0.10,67.88
memory_medium,2,0.20,100.25
memory_medium,2,0.30,100.25
memory_medium,2,0.40,106.25
memory_medium,2,0.50,118.25
memory_medium,2,0.61,142.25
memory_medium,2,0.71,142.25
memory_medium,2,0.81,146.25
memory_medium,2,0.91,146.25
memory_medium,2,1.01,150.00
memory_medium,2,1.11,150.25
memory_medium,2,1.21,150.25
memory_medium,2,1.31,166.25
memory_medium,2,1.41,168.25
memory_medium,2,1.51,174.25
memory_medium,2,1.61,174.25
memory_medium,2,1.72,180.25
memory_medium,2,1.82,181.88
memory_medium,2,1.92,188.25
memory_medium,2,2.02,194.25
memory_medium,2,2.12,197.25
memory_medium,2,2.22,197.25
memory_medium,2,2.32,196.75
memory_medium,2,2.74,18.90
memory_medium,4,0.00,25.50
memory_medium,4,0.10,69.75
memory_medium,4,0.20,104.12
memory_medium,4,0.31,110.12
memory_medium,4,0.41,144.38
memory_medium,4,0.51,150.12
memory_medium,4,0.61,150.12
memory_medium,4,0.71,162.12
memory_medium,4,0.81,164.12
memory_medium,4,0.91,166.12
memory_medium,4,1.01,166.12
memory_medium,4,1.11,168.12
memory_medium,4,1.21,172.12
memory_medium,4,1.31,176.38
memory_medium,4,1.42,184.00
memory_medium,4,1.52,184.12
memory_medium,4,1.62,188.12
memory_medium,4,1.72,194.12
memory_medium,4,1.82,205.00
memory_medium,4,1.92,205.00
memory_medium,4,2.27,18.78
memory_medium,5,0.00,24.62
memory_medium,5,0.10,68.12
memory_medium,5,0.20,73.25
memory_medium,5,0.30,94.25
memory_medium,5,0.40,130.12
memory_medium,5,0.50,132.12
memory_medium,5,0.60,136.12
memory_medium,5,0.71,140.12
memory_medium,5,0.81,150.12
memory_medium,5,0.91,152.12
memory_medium,5,1.01,158.12
memory_medium,5,1.11,160.12
memory_medium,5,1.21,161.88
