Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_long,0,2025-05-01 13:41:05.761007450,2025-05-01 13:41:53.414331857,47.65332
memory_long,1,2025-05-01 13:41:53.447570164,2025-05-01 13:42:24.996049514,31.54848
memory_long,2,2025-05-01 13:42:25.016895957,2025-05-01 13:43:16.721122047,51.70423
memory_long,3,2025-05-01 13:43:16.742479375,2025-05-01 13:43:57.196359278,40.45388
memory_long,4,2025-05-01 13:43:57.217340566,2025-05-01 13:44:40.608526780,43.39119
memory_long,5,2025-05-01 13:44:40.629364005,2025-05-01 13:45:23.341729106,42.71236
memory_long,6,2025-05-01 13:45:23.349586080,2025-05-01 13:46:13.144790342,49.79520
memory_long,7,2025-05-01 13:46:13.151562974,2025-05-01 13:46:57.307341718,44.15578
memory_long,8,2025-05-01 13:46:57.329325712,2025-05-01 13:47:39.421538387,42.09221
memory_long,9,2025-05-01 13:47:39.442396088,2025-05-01 13:48:24.578461096,45.13607
