Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_long,0,0.00,25.58
memory_long,0,0.10,65.46
memory_long,0,0.20,105.08
memory_long,0,0.30,112.46
memory_long,0,0.41,120.46
memory_long,0,0.51,120.46
memory_long,0,0.61,122.33
memory_long,0,0.71,122.33
memory_long,0,0.81,124.33
memory_long,0,0.91,126.33
memory_long,0,1.01,126.33
memory_long,0,1.11,128.33
memory_long,0,1.21,128.33
memory_long,0,1.31,149.58
memory_long,0,1.41,149.96
memory_long,0,1.51,149.96
memory_long,0,1.61,153.96
memory_long,0,1.71,153.96
memory_long,0,1.81,153.96
memory_long,0,1.92,153.96
memory_long,0,2.02,153.96
memory_long,0,2.12,155.96
memory_long,0,2.22,155.96
memory_long,0,2.32,155.96
memory_long,0,2.42,155.96
memory_long,0,2.52,155.96
memory_long,0,2.62,155.96
memory_long,0,2.72,155.96
memory_long,0,2.82,173.96
memory_long,0,2.92,173.96
memory_long,0,3.02,175.96
memory_long,0,3.12,177.96
memory_long,0,3.22,177.96
memory_long,0,3.32,177.96
memory_long,0,3.42,177.96
memory_long,0,3.53,177.96
memory_long,0,3.63,177.96
memory_long,0,3.73,179.83
memory_long,0,3.83,183.83
memory_long,0,3.93,185.83
memory_long,0,4.03,185.83
memory_long,0,4.13,189.83
memory_long,0,4.23,189.83
memory_long,0,4.33,191.83
memory_long,0,4.43,191.83
memory_long,0,4.53,196.96
memory_long,0,4.63,198.96
memory_long,0,4.73,198.96
memory_long,0,4.83,200.83
memory_long,0,4.94,200.33
memory_long,0,5.04,197.46
memory_long,0,5.90,186.58
memory_long,0,6.13,186.83
memory_long,0,6.24,187.96
memory_long,0,6.34,188.83
memory_long,0,6.44,187.21
memory_long,0,6.54,187.46
memory_long,0,6.64,187.46
memory_long,0,6.74,187.33
memory_long,0,6.84,187.33
memory_long,0,6.94,184.46
memory_long,0,7.04,183.71
memory_long,0,7.14,192.71
memory_long,0,7.24,191.71
memory_long,0,7.34,189.96
memory_long,0,7.44,190.71
memory_long,0,7.72,210.71
memory_long,0,7.82,215.83
memory_long,0,7.92,217.58
memory_long,0,8.02,219.33
memory_long,0,8.12,219.21
memory_long,0,8.22,218.21
memory_long,0,8.32,217.96
memory_long,0,8.42,218.33
memory_long,0,8.52,223.33
memory_long,0,8.62,225.21
memory_long,0,8.72,224.83
memory_long,0,8.82,224.71
memory_long,0,8.93,228.33
memory_long,0,9.03,229.83
memory_long,0,9.13,228.33
memory_long,0,9.23,227.58
memory_long,0,9.33,226.21
memory_long,0,9.43,224.08
memory_long,0,9.53,223.46
memory_long,0,9.63,222.83
memory_long,0,9.73,220.58
memory_long,0,9.83,219.33
memory_long,0,9.93,219.58
memory_long,0,10.03,219.08
memory_long,0,10.14,217.83
memory_long,0,10.24,216.33
memory_long,0,10.34,215.96
memory_long,0,10.44,212.96
memory_long,0,10.54,212.46
memory_long,0,10.64,211.21
memory_long,0,10.74,210.58
memory_long,0,10.84,209.71
memory_long,0,10.94,208.83
memory_long,0,11.04,207.58
memory_long,0,11.14,205.96
memory_long,0,11.24,205.21
memory_long,0,11.35,203.71
memory_long,0,11.45,203.08
memory_long,0,11.55,201.96
memory_long,0,11.65,201.21
memory_long,0,11.75,200.08
memory_long,0,11.85,199.33
memory_long,0,11.95,198.96
memory_long,0,12.05,198.46
memory_long,0,12.15,198.33
memory_long,0,12.25,198.08
memory_long,0,12.35,197.83
memory_long,0,12.46,196.96
memory_long,0,12.56,196.58
memory_long,0,12.66,195.71
memory_long,0,12.76,195.08
memory_long,0,12.86,194.33
memory_long,0,12.96,193.46
memory_long,0,13.06,193.08
memory_long,0,13.16,192.33
memory_long,0,13.26,191.21
memory_long,0,13.36,190.21
memory_long,0,13.46,189.33
memory_long,0,13.56,188.83
memory_long,0,13.67,187.96
memory_long,0,13.77,187.08
memory_long,0,13.87,186.33
memory_long,0,13.97,186.08
memory_long,0,14.07,185.08
memory_long,0,14.17,184.33
memory_long,0,14.27,183.83
memory_long,0,14.37,183.33
memory_long,0,14.47,182.08
memory_long,0,14.57,181.46
memory_long,0,14.67,180.83
memory_long,0,14.77,180.21
memory_long,0,14.88,179.71
memory_long,0,14.98,178.71
memory_long,0,15.08,177.96
memory_long,0,15.18,177.21
memory_long,0,15.28,176.33
memory_long,0,15.38,175.83
memory_long,0,15.48,175.46
memory_long,0,15.58,174.96
memory_long,0,15.68,174.58
memory_long,0,15.78,173.46
memory_long,0,15.88,173.08
memory_long,0,15.99,173.21
memory_long,0,16.09,172.46
memory_long,0,16.19,171.71
memory_long,0,16.29,170.83
memory_long,0,16.39,169.96
memory_long,0,16.49,168.83
memory_long,0,16.59,167.96
memory_long,0,16.69,166.96
memory_long,0,16.79,166.21
memory_long,0,16.89,166.08
memory_long,0,16.99,164.58
memory_long,0,17.09,163.33
memory_long,0,17.20,162.71
memory_long,0,17.30,161.96
memory_long,0,17.40,160.58
memory_long,0,17.50,159.71
memory_long,0,17.60,158.96
memory_long,0,17.70,157.96
memory_long,0,17.80,157.21
memory_long,0,17.90,156.08
memory_long,0,18.00,155.21
memory_long,0,18.10,153.96
memory_long,0,18.20,153.21
memory_long,0,18.30,152.96
memory_long,0,18.40,152.33
memory_long,0,18.51,151.83
memory_long,0,18.61,151.83
memory_long,0,18.71,150.83
memory_long,0,18.81,149.08
memory_long,0,18.91,148.83
memory_long,0,19.01,148.46
memory_long,0,19.11,150.33
memory_long,0,19.21,149.33
memory_long,0,19.31,148.21
memory_long,0,19.41,147.71
memory_long,0,19.51,146.46
memory_long,0,19.61,145.83
memory_long,0,19.72,145.33
memory_long,0,19.82,144.08
memory_long,0,19.92,143.21
memory_long,0,20.02,142.46
memory_long,0,20.12,141.71
memory_long,0,20.22,141.08
memory_long,0,20.32,139.71
memory_long,0,20.42,138.58
memory_long,0,20.52,138.21
memory_long,0,20.62,137.08
memory_long,0,20.72,136.33
memory_long,0,20.83,135.96
memory_long,0,20.93,134.96
memory_long,0,21.03,133.96
memory_long,0,21.13,133.33
memory_long,0,21.23,132.46
memory_long,0,21.33,131.21
memory_long,0,21.43,130.21
memory_long,0,21.53,128.71
memory_long,0,21.63,127.21
memory_long,0,21.73,126.58
memory_long,0,21.83,128.33
memory_long,0,21.93,125.83
memory_long,0,22.04,125.46
memory_long,0,22.14,125.08
memory_long,0,22.24,124.21
memory_long,0,22.34,126.46
memory_long,0,22.44,125.08
memory_long,0,22.54,124.21
memory_long,0,22.64,123.96
memory_long,0,22.74,122.83
memory_long,0,22.84,121.71
memory_long,0,22.94,120.83
memory_long,0,23.04,120.71
memory_long,0,23.14,120.58
memory_long,0,23.24,119.21
memory_long,0,23.35,118.21
memory_long,0,23.45,117.08
memory_long,0,23.55,116.83
memory_long,0,23.65,114.58
