Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_medium,0,2025-05-01 13:28:36.853323812,2025-05-01 13:28:47.966285236,11.11296
memory_medium,1,2025-05-01 13:28:47.978431651,2025-05-01 13:29:00.297872006,12.31944
memory_medium,2,2025-05-01 13:29:00.376353109,2025-05-01 13:29:13.498002769,13.12165
memory_medium,3,2025-05-01 13:29:13.527535905,2025-05-01 13:29:47.383733444,33.85620
memory_medium,4,2025-05-01 13:29:47.410839322,2025-05-01 13:29:59.828351212,12.41751
memory_medium,5,2025-05-01 13:29:59.859824935,2025-05-01 13:30:10.470721034,10.61090
memory_medium,6,2025-05-01 13:30:10.497908678,2025-05-01 13:30:24.422127016,13.92422
memory_medium,7,2025-05-01 13:30:24.449064770,2025-05-01 13:30:38.016502142,13.56744
memory_medium,8,2025-05-01 13:30:38.043769079,2025-05-01 13:31:02.215723189,24.17195
memory_medium,9,2025-05-01 13:31:02.228911640,2025-05-01 13:31:14.660320327,12.43141
