Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_medium,0,0.00,26.07
memory_medium,0,0.10,66.82
memory_medium,0,0.20,107.07
memory_medium,0,0.30,146.32
memory_medium,0,0.45,24.99
memory_medium,1,0.00,25.76
memory_medium,1,0.10,66.38
memory_medium,1,0.20,106.76
memory_medium,1,0.30,145.88
memory_medium,1,0.41,170.51
memory_medium,1,0.51,176.51
memory_medium,2,0.00,25.85
memory_medium,2,0.10,66.35
memory_medium,2,0.20,106.60
memory_medium,2,0.30,147.10
memory_medium,2,0.44,24.86
memory_medium,3,0.00,25.94
memory_medium,3,0.10,64.69
memory_medium,3,0.20,104.94
memory_medium,3,0.30,145.19
memory_medium,3,0.40,166.57
memory_medium,3,0.55,25.02
memory_medium,4,0.00,25.88
memory_medium,4,0.10,66.25
memory_medium,4,0.20,106.62
memory_medium,4,0.30,147.00
memory_medium,4,0.40,172.38
memory_medium,4,0.51,172.38
memory_medium,4,0.61,178.38
memory_medium,4,0.74,24.80
memory_medium,5,0.00,25.93
memory_medium,5,0.10,66.43
memory_medium,5,0.20,106.55
memory_medium,5,0.30,146.93
memory_medium,5,0.44,24.92
memory_medium,6,0.00,25.95
memory_medium,6,0.10,66.32
memory_medium,6,0.20,106.95
memory_medium,6,0.30,147.32
memory_medium,6,0.44,25.00
memory_medium,7,0.00,25.95
memory_medium,7,0.10,66.57
memory_medium,7,0.20,107.07
memory_medium,7,0.30,147.57
memory_medium,7,0.44,24.99
memory_medium,8,0.00,25.94
memory_medium,8,0.10,65.81
memory_medium,8,0.20,105.81
memory_medium,8,0.30,145.56
memory_medium,8,0.45,24.98
memory_medium,9,0.00,25.94
memory_medium,9,0.10,66.31
memory_medium,9,0.20,106.44
memory_medium,9,0.30,146.94
memory_medium,9,0.45,24.99
