Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_medium,0,0.00,25.03
memory_medium,0,0.10,63.78
memory_medium,0,0.20,99.28
memory_medium,0,0.30,131.53
memory_medium,0,0.41,164.03
memory_medium,1,0.00,25.05
memory_medium,1,0.10,57.80
memory_medium,1,0.20,59.80
memory_medium,1,0.30,71.80
memory_medium,1,0.40,73.80
memory_medium,1,0.50,73.80
memory_medium,1,0.61,94.17
memory_medium,1,0.71,115.67
memory_medium,1,0.81,115.67
memory_medium,1,0.91,115.67
memory_medium,1,1.01,115.67
memory_medium,1,1.11,115.67
memory_medium,1,1.21,115.67
memory_medium,1,1.31,115.67
memory_medium,1,1.41,115.67
memory_medium,1,1.51,117.67
memory_medium,1,1.61,117.67
memory_medium,1,1.71,117.67
memory_medium,1,1.81,117.67
memory_medium,1,1.91,117.67
memory_medium,1,2.02,117.67
memory_medium,1,2.12,117.67
memory_medium,1,2.22,117.67
memory_medium,1,2.32,117.67
memory_medium,1,2.42,117.67
memory_medium,1,2.52,121.67
memory_medium,1,2.62,125.67
memory_medium,1,2.72,125.67
memory_medium,1,2.82,127.67
memory_medium,1,2.92,127.67
memory_medium,1,3.02,131.67
memory_medium,1,3.12,133.67
memory_medium,1,3.22,133.67
memory_medium,1,3.32,133.67
memory_medium,1,3.43,133.67
memory_medium,1,3.53,133.67
memory_medium,1,3.63,133.67
memory_medium,1,3.73,133.67
memory_medium,1,3.83,133.67
memory_medium,1,3.93,137.67
memory_medium,1,4.03,137.67
memory_medium,1,4.13,137.67
memory_medium,1,4.23,137.67
memory_medium,1,4.33,139.67
memory_medium,1,4.43,139.67
memory_medium,1,4.53,139.67
memory_medium,1,4.64,147.17
memory_medium,1,4.74,169.67
memory_medium,1,4.84,170.05
memory_medium,1,5.26,170.95
memory_medium,2,0.00,25.09
memory_medium,2,0.10,58.97
memory_medium,2,0.21,94.09
memory_medium,2,0.31,133.97
memory_medium,2,0.41,149.72
memory_medium,2,0.51,165.22
memory_medium,2,0.61,165.22
memory_medium,2,0.71,165.22
memory_medium,2,0.81,165.22
memory_medium,2,0.91,165.22
memory_medium,2,1.01,165.22
memory_medium,2,1.11,165.72
memory_medium,2,1.21,165.72
memory_medium,2,1.31,165.72
memory_medium,2,1.41,165.72
memory_medium,2,1.51,165.72
memory_medium,2,1.62,165.72
memory_medium,2,1.72,165.22
memory_medium,2,1.82,165.22
memory_medium,2,1.92,165.22
memory_medium,2,2.02,165.22
memory_medium,2,2.12,165.22
memory_medium,2,2.22,165.22
memory_medium,2,2.32,165.22
memory_medium,2,2.42,165.22
memory_medium,2,2.52,165.22
memory_medium,2,2.62,161.84
memory_medium,2,2.72,161.84
memory_medium,2,2.82,164.59
memory_medium,2,2.92,164.59
memory_medium,2,3.03,164.59
memory_medium,2,3.13,174.59
memory_medium,2,3.23,174.59
memory_medium,2,3.85,20.09
memory_medium,3,0.00,24.63
memory_medium,3,0.10,33.51
memory_medium,3,0.20,41.51
memory_medium,3,0.30,45.38
memory_medium,3,0.40,45.38
memory_medium,3,0.50,45.38
memory_medium,3,0.61,45.38
memory_medium,3,0.71,49.38
memory_medium,3,0.81,80.63
memory_medium,3,0.91,109.38
memory_medium,3,1.01,109.38
memory_medium,3,1.11,113.38
memory_medium,3,1.21,115.38
memory_medium,3,1.31,117.38
memory_medium,3,1.41,117.38
memory_medium,3,1.51,117.38
memory_medium,3,1.61,117.38
memory_medium,3,1.71,117.38
memory_medium,3,1.81,117.38
memory_medium,3,1.92,117.38
memory_medium,3,2.02,117.38
memory_medium,3,2.12,117.38
memory_medium,3,2.22,117.38
memory_medium,3,2.32,117.38
memory_medium,3,2.42,117.38
memory_medium,3,2.52,125.38
memory_medium,3,2.62,127.38
memory_medium,3,2.72,129.38
memory_medium,3,2.82,131.38
memory_medium,3,2.92,131.38
memory_medium,3,3.03,131.38
memory_medium,3,3.13,131.38
memory_medium,3,3.23,131.38
memory_medium,3,3.33,131.38
memory_medium,3,3.43,155.26
memory_medium,3,3.63,18.11
memory_medium,4,0.00,24.87
memory_medium,4,0.10,53.37
memory_medium,4,0.20,91.62
memory_medium,4,0.31,129.87
memory_medium,4,0.41,157.50
memory_medium,4,0.51,159.00
memory_medium,4,0.61,176.75
memory_medium,4,0.71,176.75
memory_medium,4,0.81,176.75
memory_medium,4,0.91,176.75
memory_medium,4,1.01,176.75
memory_medium,4,1.11,176.75
memory_medium,4,1.21,176.75
memory_medium,4,1.31,176.75
memory_medium,4,1.41,176.75
memory_medium,4,1.51,176.75
memory_medium,4,1.62,176.75
memory_medium,4,1.72,176.75
memory_medium,4,1.82,177.50
memory_medium,4,1.92,177.50
memory_medium,4,2.02,177.50
memory_medium,4,2.12,177.50
memory_medium,4,2.22,177.50
memory_medium,4,2.32,177.50
memory_medium,4,2.42,177.50
memory_medium,4,2.52,177.50
memory_medium,4,2.62,175.50
memory_medium,4,2.72,173.00
memory_medium,4,3.81,173.96
memory_medium,5,0.00,25.12
memory_medium,5,0.10,59.62
memory_medium,5,0.20,61.62
memory_medium,5,0.30,61.62
memory_medium,5,0.40,61.62
memory_medium,5,0.50,61.62
memory_medium,5,0.60,61.62
memory_medium,5,0.71,63.62
memory_medium,5,0.81,63.62
memory_medium,5,0.91,96.75
memory_medium,5,1.01,137.62
memory_medium,5,1.11,161.62
memory_medium,5,1.21,169.37
memory_medium,5,1.31,169.62
memory_medium,5,1.41,169.62
memory_medium,5,1.51,169.62
memory_medium,5,1.61,169.62
memory_medium,5,1.71,169.62
memory_medium,5,1.81,169.62
