Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_medium,0,1747642152.2289898,1747642153.8880715,1.6590816974639893
memory_medium,1,1747642155.400731,1747642157.2335455,1.8328144550323486
memory_medium,2,1747642158.6591773,1747642159.1064386,0.44726133346557617
memory_medium,3,1747642160.1310728,1747642160.5776262,0.44655346870422363
memory_medium,4,1747642161.597066,1747642162.041017,0.4439511299133301
memory_medium,5,1747642163.0914557,1747642163.5348034,0.443347692489624
memory_medium,6,1747642164.54832,1747642164.990823,0.4425029754638672
memory_medium,7,1747642166.0535448,1747642166.5221293,0.4685845375061035
memory_medium,8,1747642167.6759522,1747642168.3630564,0.6871042251586914
memory_medium,9,1747642169.3193336,1747642169.8299387,0.5106050968170166
