Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_medium,0,0.00,26.18
memory_medium,0,0.10,66.55
memory_medium,0,0.21,108.18
memory_medium,0,0.31,147.68
memory_medium,0,0.41,174.30
memory_medium,0,0.51,174.55
memory_medium,0,0.61,174.55
memory_medium,0,0.71,174.55
memory_medium,0,0.81,174.55
memory_medium,0,0.91,177.93
memory_medium,0,1.01,178.55
memory_medium,0,1.11,178.55
memory_medium,0,1.21,178.55
memory_medium,0,1.31,178.55
memory_medium,0,1.42,178.55
memory_medium,0,1.52,178.55
memory_medium,0,1.66,24.96
memory_medium,1,0.00,25.68
memory_medium,1,0.10,66.30
memory_medium,1,0.20,92.43
memory_medium,1,0.30,100.43
memory_medium,1,0.40,100.43
memory_medium,1,0.50,104.43
memory_medium,1,0.61,104.43
memory_medium,1,0.71,104.43
memory_medium,1,0.81,108.43
memory_medium,1,0.91,108.43
memory_medium,1,1.01,108.43
memory_medium,1,1.11,108.43
memory_medium,1,1.21,110.43
memory_medium,1,1.31,110.43
memory_medium,1,1.41,110.43
memory_medium,1,1.51,110.43
memory_medium,1,1.61,123.68
memory_medium,1,1.71,158.93
memory_medium,1,1.83,24.86
memory_medium,2,0.00,25.75
memory_medium,2,0.10,65.88
memory_medium,2,0.20,106.38
memory_medium,2,0.30,146.63
memory_medium,2,0.45,24.82
memory_medium,3,0.00,25.93
memory_medium,3,0.10,65.68
memory_medium,3,0.20,106.43
memory_medium,3,0.30,146.68
memory_medium,3,0.45,24.97
memory_medium,4,0.00,25.92
memory_medium,4,0.10,66.54
memory_medium,4,0.20,107.04
memory_medium,4,0.30,147.42
memory_medium,4,0.44,24.96
memory_medium,5,0.00,25.93
memory_medium,5,0.10,66.31
memory_medium,5,0.20,106.93
memory_medium,5,0.30,147.31
memory_medium,5,0.44,24.98
memory_medium,6,0.00,25.93
memory_medium,6,0.10,66.68
memory_medium,6,0.20,107.05
memory_medium,6,0.30,147.68
memory_medium,6,0.44,24.97
memory_medium,7,0.00,25.93
memory_medium,7,0.10,65.55
memory_medium,7,0.20,103.93
memory_medium,7,0.30,141.93
memory_medium,7,0.47,24.97
memory_medium,8,0.00,25.91
memory_medium,8,0.10,65.66
memory_medium,8,0.20,106.29
memory_medium,8,0.30,146.91
memory_medium,8,0.41,178.54
memory_medium,8,0.51,178.54
memory_medium,8,0.61,178.54
memory_medium,9,0.00,26.06
memory_medium,9,0.10,66.56
memory_medium,9,0.20,106.81
memory_medium,9,0.30,147.06
memory_medium,9,0.40,174.56
