Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_medium,0,1747641408.9406838,1747641410.3454633,1.4047794342041016
memory_medium,1,1747641424.323309,1747641428.2443016,3.920992612838745
memory_medium,2,1747641439.8865478,1747641445.3748753,5.488327503204346
memory_medium,3,1747641459.4715111,1747641463.6108327,4.139321565628052
memory_medium,4,1747641474.1635451,1747641481.0558155,6.89227032661438
memory_medium,5,1747641495.479993,1747641496.2469914,0.766998291015625
memory_medium,6,1747641503.3733747,1747641510.0921612,6.7187864780426025
memory_medium,7,1747641522.9112022,1747641530.447265,7.536062717437744
memory_medium,8,1747641543.8458598,1747641548.9347692,5.088909387588501
memory_medium,9,1747641560.1073992,1747641562.8708148,2.763415575027466
