Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_medium,0,0.00,28.21
memory_medium,0,0.10,67.72
memory_medium,0,0.20,103.60
memory_medium,0,0.30,103.60
memory_medium,0,0.40,107.60
memory_medium,0,0.50,109.60
memory_medium,0,0.61,111.60
memory_medium,0,0.71,115.60
memory_medium,0,0.81,117.60
memory_medium,0,0.91,117.60
memory_medium,0,1.01,117.60
memory_medium,0,1.11,117.60
memory_medium,0,1.21,129.10
memory_medium,0,1.31,166.35
memory_medium,1,0.00,25.08
memory_medium,1,0.10,66.08
memory_medium,1,0.20,87.33
memory_medium,1,0.31,106.70
memory_medium,1,0.41,147.83
memory_medium,1,0.51,149.33
memory_medium,1,0.61,149.33
memory_medium,1,0.71,149.33
memory_medium,1,0.81,149.33
memory_medium,1,0.91,149.33
memory_medium,1,1.01,149.33
memory_medium,1,1.11,149.33
memory_medium,1,1.22,151.33
memory_medium,1,1.32,153.33
memory_medium,1,1.42,155.33
memory_medium,1,1.52,157.33
memory_medium,1,1.62,157.33
memory_medium,1,1.72,157.33
memory_medium,1,1.82,157.33
memory_medium,1,1.92,157.33
memory_medium,1,2.02,157.33
memory_medium,1,2.12,157.33
memory_medium,1,2.23,157.33
memory_medium,1,2.33,157.33
memory_medium,1,2.43,159.33
memory_medium,1,2.53,159.33
memory_medium,1,2.63,159.33
memory_medium,1,2.73,159.33
memory_medium,1,2.83,159.33
memory_medium,1,2.93,159.33
memory_medium,1,3.03,159.33
memory_medium,1,3.13,161.33
memory_medium,1,3.23,161.33
memory_medium,1,3.33,161.33
memory_medium,1,3.44,161.33
memory_medium,1,3.54,161.33
memory_medium,1,3.64,161.33
memory_medium,1,3.74,160.45
memory_medium,1,3.84,170.58
memory_medium,2,0.00,25.14
memory_medium,2,0.10,65.89
memory_medium,2,0.20,95.27
memory_medium,2,0.30,127.02
memory_medium,2,0.40,137.27
memory_medium,2,0.51,137.27
memory_medium,2,0.61,137.27
memory_medium,2,0.71,137.27
memory_medium,2,0.81,137.27
memory_medium,2,0.91,137.27
memory_medium,2,1.01,137.27
memory_medium,2,1.11,137.27
memory_medium,2,1.21,137.27
memory_medium,2,1.31,137.27
memory_medium,2,1.41,137.27
memory_medium,2,1.51,137.27
memory_medium,2,1.61,137.27
memory_medium,2,1.71,137.27
memory_medium,2,1.82,137.27
memory_medium,2,1.92,137.27
memory_medium,2,2.02,139.27
memory_medium,2,2.12,139.27
memory_medium,2,2.22,139.27
memory_medium,2,2.32,139.27
memory_medium,2,2.42,144.89
memory_medium,2,2.52,145.27
memory_medium,2,2.62,145.27
memory_medium,2,2.72,145.27
memory_medium,2,2.82,145.27
memory_medium,2,2.92,145.27
memory_medium,2,3.03,145.27
memory_medium,2,3.13,145.27
memory_medium,2,3.23,145.27
memory_medium,2,3.33,151.89
memory_medium,2,3.43,157.52
memory_medium,2,3.53,157.52
memory_medium,2,3.63,157.52
memory_medium,2,3.73,157.52
memory_medium,2,3.83,157.52
memory_medium,2,3.93,157.52
memory_medium,2,4.04,157.52
memory_medium,2,4.14,157.52
memory_medium,2,4.24,157.52
memory_medium,2,4.34,161.39
memory_medium,2,4.44,161.39
memory_medium,2,4.54,170.27
memory_medium,2,4.64,170.27
memory_medium,2,5.41,168.36
memory_medium,2,5.54,13.16
memory_medium,3,0.00,25.09
memory_medium,3,0.10,63.96
memory_medium,3,0.21,97.59
memory_medium,3,0.31,99.59
memory_medium,3,0.41,99.59
memory_medium,3,0.51,99.59
memory_medium,3,0.61,99.59
memory_medium,3,0.71,99.59
memory_medium,3,0.81,101.59
memory_medium,3,0.91,101.59
memory_medium,3,1.01,103.59
memory_medium,3,1.11,105.59
memory_medium,3,1.21,105.59
memory_medium,3,1.31,105.59
memory_medium,3,1.41,105.59
memory_medium,3,1.51,105.59
memory_medium,3,1.61,105.59
memory_medium,3,1.72,105.59
memory_medium,3,1.82,105.59
memory_medium,3,1.92,105.59
memory_medium,3,2.02,107.59
memory_medium,3,2.12,107.59
memory_medium,3,2.22,107.59
memory_medium,3,2.32,107.59
memory_medium,3,2.42,107.59
memory_medium,3,2.52,111.71
memory_medium,3,2.62,113.59
memory_medium,3,2.72,132.59
memory_medium,3,2.82,134.59
memory_medium,3,2.93,134.34
memory_medium,3,3.03,159.09
memory_medium,3,3.13,162.96
memory_medium,3,3.23,162.96
memory_medium,3,3.33,168.96
memory_medium,3,3.43,170.96
memory_medium,3,3.53,170.96
memory_medium,3,3.63,172.96
memory_medium,3,4.20,18.36
memory_medium,4,0.00,25.15
memory_medium,4,0.10,65.78
memory_medium,4,0.20,100.40
memory_medium,4,0.30,137.78
memory_medium,4,0.41,137.78
memory_medium,4,0.51,139.65
memory_medium,4,0.61,139.65
memory_medium,4,0.71,139.65
memory_medium,4,0.81,139.65
memory_medium,4,0.91,139.65
memory_medium,4,1.01,139.65
memory_medium,4,1.11,139.65
memory_medium,4,1.21,139.65
memory_medium,4,1.31,141.65
memory_medium,4,1.41,143.65
memory_medium,4,1.51,145.65
memory_medium,4,1.62,145.65
memory_medium,4,1.72,145.65
memory_medium,4,1.82,145.65
memory_medium,4,1.92,145.65
memory_medium,4,2.02,145.65
memory_medium,4,2.12,145.65
memory_medium,4,2.22,145.65
memory_medium,4,2.32,145.65
memory_medium,4,2.42,145.65
memory_medium,4,2.52,145.65
memory_medium,4,2.62,147.78
memory_medium,4,2.73,154.28
memory_medium,4,2.83,156.28
memory_medium,4,2.93,156.28
memory_medium,4,3.03,156.28
memory_medium,4,3.13,156.28
memory_medium,4,3.23,156.28
memory_medium,4,3.33,166.03
memory_medium,4,3.43,166.03
memory_medium,4,3.53,166.03
memory_medium,4,3.63,166.03
memory_medium,4,3.73,166.03
memory_medium,4,3.83,166.03
memory_medium,4,3.93,166.03
memory_medium,4,4.03,168.03
memory_medium,4,4.13,168.03
memory_medium,4,4.24,168.03
memory_medium,4,4.34,167.65
memory_medium,4,4.44,167.15
memory_medium,4,4.54,165.15
memory_medium,4,4.64,164.15
memory_medium,4,4.74,160.78
memory_medium,4,4.84,160.53
memory_medium,4,6.55,163.57
memory_medium,4,6.75,161.82
memory_medium,4,6.89,6.16
memory_medium,5,0.00,25.34
memory_medium,5,0.12,69.46
memory_medium,5,0.22,105.71
memory_medium,5,0.33,105.71
memory_medium,5,0.43,107.71
memory_medium,5,0.53,117.71
memory_medium,5,0.63,147.59
memory_medium,5,0.77,24.14
