Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_long,0,0.00,29.61
memory_long,0,0.10,70.23
memory_long,0,0.20,108.23
memory_long,0,0.30,108.23
memory_long,0,0.40,108.23
memory_long,0,0.51,110.23
memory_long,0,0.61,112.23
memory_long,0,0.71,114.23
memory_long,0,0.81,116.11
memory_long,0,0.91,156.11
memory_long,0,1.01,171.36
memory_long,0,1.11,176.36
memory_long,0,1.21,176.36
memory_long,0,1.31,178.36
memory_long,0,1.41,178.36
memory_long,0,1.51,178.36
memory_long,0,1.61,178.36
memory_long,0,1.71,180.36
memory_long,0,1.81,182.36
memory_long,0,1.92,182.36
memory_long,0,2.02,184.36
memory_long,0,2.12,184.36
memory_long,0,2.22,184.36
memory_long,0,2.32,186.36
memory_long,0,2.42,186.36
memory_long,0,2.52,186.36
memory_long,0,2.62,188.36
memory_long,0,2.72,188.36
memory_long,0,2.83,190.36
memory_long,0,2.93,190.36
memory_long,0,3.03,190.36
memory_long,0,3.13,194.36
memory_long,0,3.23,196.36
memory_long,0,3.33,196.36
memory_long,0,3.43,200.23
memory_long,0,3.53,202.23
memory_long,0,3.63,204.11
memory_long,0,3.73,204.73
memory_long,0,3.84,231.36
memory_long,0,3.94,254.23
memory_long,0,4.04,252.86
memory_long,0,4.14,254.61
memory_long,0,4.24,254.98
memory_long,0,4.34,254.86
memory_long,0,4.44,254.86
memory_long,0,4.54,254.86
memory_long,0,4.64,259.48
memory_long,0,4.84,251.36
memory_long,0,4.94,249.48
memory_long,0,5.04,236.98
memory_long,0,5.14,237.23
memory_long,0,5.24,235.48
memory_long,0,5.67,239.86
memory_long,0,5.77,240.11
memory_long,0,5.87,245.23
memory_long,0,5.97,245.23
memory_long,0,6.07,245.48
memory_long,0,6.17,246.36
memory_long,0,6.27,247.36
memory_long,0,6.38,247.86
memory_long,0,6.48,247.48
memory_long,0,6.58,247.48
memory_long,0,6.68,246.98
memory_long,0,6.99,242.73
memory_long,0,7.76,248.11
memory_long,0,7.86,257.11
memory_long,0,7.96,256.86
memory_long,0,8.06,256.73
memory_long,0,8.16,256.11
memory_long,0,8.26,255.98
memory_long,0,8.36,254.73
memory_long,0,8.46,254.61
memory_long,0,8.56,254.61
memory_long,0,8.66,260.36
memory_long,0,8.76,261.48
memory_long,0,8.87,260.36
memory_long,0,8.97,259.86
memory_long,0,9.07,259.36
memory_long,0,9.17,258.61
memory_long,0,9.27,258.11
memory_long,0,9.37,261.36
memory_long,0,9.47,260.11
memory_long,0,9.57,259.11
memory_long,0,9.67,258.48
memory_long,0,9.77,257.98
memory_long,0,9.87,257.73
memory_long,0,9.97,257.73
memory_long,0,10.07,258.61
memory_long,0,10.18,257.61
memory_long,0,10.28,257.23
memory_long,0,10.38,256.61
memory_long,0,10.48,255.98
memory_long,0,10.58,255.48
memory_long,0,10.68,253.73
memory_long,0,10.78,253.23
memory_long,0,10.88,254.11
memory_long,0,10.98,253.23
memory_long,0,11.08,252.86
memory_long,0,11.18,252.36
memory_long,0,11.28,252.11
memory_long,0,11.39,253.73
memory_long,0,11.49,253.23
memory_long,0,11.59,252.73
memory_long,0,11.69,252.48
memory_long,0,11.79,252.11
memory_long,0,11.89,251.23
memory_long,0,11.99,250.61
memory_long,0,12.09,249.86
memory_long,0,12.19,249.23
memory_long,0,12.29,251.73
memory_long,0,12.39,251.11
memory_long,0,12.49,250.73
memory_long,0,12.59,250.61
memory_long,0,12.70,250.48
memory_long,0,12.80,250.11
memory_long,0,12.90,249.86
memory_long,0,13.00,249.48
memory_long,0,13.10,249.23
memory_long,0,13.20,248.61
memory_long,0,13.30,247.86
memory_long,0,13.40,247.36
memory_long,0,13.50,246.86
memory_long,0,13.60,247.23
memory_long,0,13.70,246.98
memory_long,0,13.80,245.86
memory_long,0,13.90,245.61
memory_long,0,14.01,243.61
memory_long,0,14.11,244.11
memory_long,0,14.21,243.36
memory_long,0,14.31,242.61
memory_long,0,14.41,241.11
memory_long,0,14.51,240.36
memory_long,0,14.61,241.98
memory_long,0,14.71,244.48
memory_long,0,14.81,243.98
memory_long,0,14.91,245.23
memory_long,0,15.01,245.86
memory_long,0,15.11,245.48
memory_long,0,15.22,244.98
memory_long,0,15.32,242.11
memory_long,0,15.42,240.36
memory_long,0,15.52,242.23
memory_long,0,15.62,242.23
memory_long,0,15.72,240.73
memory_long,0,15.82,239.11
memory_long,0,15.92,240.73
memory_long,0,16.02,241.23
memory_long,0,16.12,242.73
memory_long,0,16.22,242.98
memory_long,0,16.33,242.11
memory_long,0,16.43,241.86
memory_long,0,16.53,244.36
memory_long,0,16.63,242.61
memory_long,0,16.73,243.61
memory_long,0,16.83,242.48
memory_long,0,16.93,241.23
memory_long,0,17.03,240.61
memory_long,0,17.13,240.11
memory_long,0,17.23,241.23
memory_long,0,17.33,241.73
memory_long,0,17.43,242.61
memory_long,0,17.53,241.48
memory_long,0,17.64,239.86
memory_long,0,17.74,240.98
memory_long,0,17.84,239.98
memory_long,0,17.94,239.23
memory_long,0,18.04,239.48
memory_long,0,18.14,240.86
memory_long,0,18.24,241.61
memory_long,0,18.34,241.11
memory_long,0,18.44,242.61
memory_long,0,18.54,241.73
memory_long,0,18.65,240.61
memory_long,0,18.75,239.61
memory_long,0,18.85,238.48
memory_long,0,18.95,238.11
memory_long,0,19.05,241.98
memory_long,0,19.15,240.86
memory_long,0,19.25,240.73
memory_long,0,19.35,235.48
memory_long,0,19.45,236.61
memory_long,0,19.55,235.36
memory_long,0,19.65,233.61
memory_long,0,19.75,233.48
memory_long,0,19.85,233.36
memory_long,0,19.96,232.36
memory_long,0,20.06,236.86
memory_long,0,20.16,235.48
memory_long,0,20.26,235.11
memory_long,0,20.36,234.36
memory_long,0,20.46,234.48
memory_long,0,20.56,236.98
memory_long,0,20.66,237.73
memory_long,0,20.76,237.48
memory_long,0,20.86,236.36
memory_long,0,20.96,234.36
memory_long,0,21.06,232.73
memory_long,0,21.16,232.11
memory_long,0,21.27,235.86
memory_long,0,21.37,238.36
memory_long,0,21.47,236.86
memory_long,0,21.57,238.23
memory_long,0,21.67,235.61
memory_long,0,21.77,234.73
memory_long,0,21.87,235.73
memory_long,0,21.97,235.61
memory_long,0,22.07,235.98
memory_long,0,22.17,235.98
memory_long,0,22.27,237.36
memory_long,0,22.37,236.11
memory_long,0,22.48,236.98
memory_long,0,22.58,236.98
memory_long,0,22.68,235.61
memory_long,0,22.78,235.48
memory_long,0,22.88,235.36
memory_long,0,22.98,233.98
memory_long,0,23.08,233.36
memory_long,0,23.18,232.98
memory_long,0,23.28,232.11
memory_long,0,23.38,231.98
memory_long,0,23.48,236.98
memory_long,0,23.58,236.73
memory_long,0,23.68,237.73
memory_long,0,23.79,236.36
memory_long,0,23.89,235.98
memory_long,0,23.99,235.73
memory_long,0,24.09,233.86
memory_long,0,24.19,235.11
memory_long,0,24.29,234.98
memory_long,0,24.39,233.48
memory_long,0,24.49,232.61
memory_long,0,24.59,230.61
memory_long,0,25.45,224.61
memory_long,0,25.91,222.23
memory_long,0,26.07,220.61
memory_long,0,27.16,3.21
memory_long,1,0.00,25.11
memory_long,1,0.10,69.23
memory_long,1,0.20,115.36
memory_long,1,0.30,122.36
memory_long,1,0.40,122.36
memory_long,1,0.51,122.36
memory_long,1,0.61,122.36
memory_long,1,0.71,122.36
memory_long,1,0.81,128.36
memory_long,1,0.91,128.36
memory_long,1,1.01,130.11
memory_long,1,1.11,132.36
memory_long,1,1.21,132.36
memory_long,1,1.31,134.23
memory_long,1,1.41,159.48
memory_long,1,1.52,197.11
memory_long,1,1.62,231.11
memory_long,1,1.72,233.11
memory_long,1,1.82,233.11
memory_long,1,1.92,233.11
memory_long,1,2.02,233.11
memory_long,1,2.12,233.11
memory_long,1,2.22,233.11
memory_long,1,2.32,233.11
memory_long,1,2.42,233.11
memory_long,1,2.52,233.11
memory_long,1,2.63,233.11
memory_long,1,2.73,233.11
memory_long,1,2.83,233.11
memory_long,1,2.93,233.11
memory_long,1,3.03,233.11
memory_long,1,3.13,233.11
memory_long,1,3.23,233.11
memory_long,1,3.33,235.11
memory_long,1,3.43,237.11
memory_long,1,3.53,236.98
memory_long,1,3.63,236.98
memory_long,1,3.73,238.98
memory_long,1,3.83,240.98
memory_long,1,3.94,242.86
memory_long,1,4.04,242.86
memory_long,1,4.14,242.86
memory_long,1,4.24,242.86
memory_long,1,4.34,242.86
memory_long,1,4.44,249.61
memory_long,1,4.54,248.48
memory_long,1,4.64,251.11
memory_long,1,4.74,251.86
memory_long,1,4.84,249.73
memory_long,1,4.94,248.98
memory_long,1,5.04,247.98
memory_long,1,5.76,247.11
memory_long,1,5.96,241.36
memory_long,1,6.75,239.73
memory_long,1,6.85,239.73
memory_long,1,6.95,239.61
memory_long,1,7.05,244.98
memory_long,1,7.15,244.98
memory_long,1,7.25,244.86
memory_long,1,7.35,250.48
memory_long,1,7.45,250.48
memory_long,1,7.55,249.36
memory_long,1,7.65,249.23
memory_long,1,7.75,252.86
memory_long,1,7.86,252.86
memory_long,1,7.96,253.86
memory_long,1,8.06,254.11
memory_long,1,8.16,253.61
memory_long,1,8.26,252.61
memory_long,1,8.36,251.48
memory_long,1,8.46,250.98
memory_long,1,8.56,249.61
memory_long,1,8.66,250.61
memory_long,1,8.76,250.23
memory_long,1,8.86,248.98
memory_long,1,8.96,252.36
memory_long,1,9.07,251.86
memory_long,1,9.17,252.73
memory_long,1,9.27,252.23
memory_long,1,9.37,250.86
memory_long,1,9.47,248.86
memory_long,1,9.57,247.86
