Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_low,0,2025-04-22 13:41:40.530454186,2025-04-22 13:41:44.749073578,4.21862
memory_low,1,2025-04-22 13:41:44.762064234,2025-04-22 13:41:48.646196336,3.88413
memory_low,2,2025-04-22 13:41:48.668210109,2025-04-22 13:41:52.547483176,3.87927
memory_low,3,2025-04-22 13:41:52.557797368,2025-04-22 13:41:56.333033196,3.77524
memory_low,4,2025-04-22 13:41:56.350762033,2025-04-22 13:42:00.486910533,4.13615
memory_low,5,2025-04-22 13:42:00.502366972,2025-04-22 13:42:07.306126111,6.80376
memory_low,6,2025-04-22 13:42:07.330127066,2025-04-22 13:42:13.583750608,6.25362
memory_low,7,2025-04-22 13:42:13.656818347,2025-04-22 13:42:17.973451075,4.31663
memory_low,8,2025-04-22 13:42:17.980593360,2025-04-22 13:42:21.902811185,3.92222
memory_low,9,2025-04-22 13:42:21.908662527,2025-04-22 13:42:26.065672145,4.15701
