Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_medium,0,2025-04-22 13:21:55.912046938,2025-04-22 13:22:09.507178520,13.59513
memory_medium,1,2025-04-22 13:22:09.530647140,2025-04-22 13:22:25.247949463,15.71730
memory_medium,2,2025-04-22 13:22:25.256526638,2025-04-22 13:22:39.856493955,14.59997
memory_medium,3,2025-04-22 13:22:39.880324616,2025-04-22 13:22:59.714520954,19.83420
memory_medium,4,2025-04-22 13:22:59.722763176,2025-04-22 13:23:14.932474648,15.20971
memory_medium,5,2025-04-22 13:23:14.956799383,2025-04-22 13:23:28.854781609,13.89798
memory_medium,6,2025-04-22 13:23:28.878481438,2025-04-22 13:23:51.295696343,22.41721
memory_medium,7,2025-04-22 13:23:51.319829478,2025-04-22 13:24:10.168123984,18.84829
memory_medium,8,2025-04-22 13:24:10.177288406,2025-04-22 13:24:24.349604478,14.17232
memory_medium,9,2025-04-22 13:24:24.373230961,2025-04-22 13:24:45.500978573,21.12775
