Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_medium,0,0.00,25.25
memory_medium,0,0.10,70.37
memory_medium,0,0.20,113.12
memory_medium,0,0.30,117.37
memory_medium,0,0.40,118.25
memory_medium,0,0.51,120.12
memory_medium,0,0.61,120.00
memory_medium,0,0.71,122.00
memory_medium,0,0.81,122.00
memory_medium,0,0.91,122.00
memory_medium,0,1.01,124.00
memory_medium,0,1.11,124.00
memory_medium,0,1.21,126.00
memory_medium,0,1.31,126.00
memory_medium,0,1.41,128.00
memory_medium,0,1.51,128.00
memory_medium,0,1.61,128.00
memory_medium,0,1.71,130.00
memory_medium,0,1.81,132.00
memory_medium,0,1.91,132.00
memory_medium,0,2.01,132.00
memory_medium,0,2.12,133.87
memory_medium,0,2.22,135.87
memory_medium,0,2.32,151.87
memory_medium,0,2.42,151.87
memory_medium,0,2.52,151.87
memory_medium,0,2.62,152.62
memory_medium,0,2.72,155.87
memory_medium,0,2.82,155.87
memory_medium,0,2.92,178.50
memory_medium,0,3.02,206.25
memory_medium,0,3.55,15.18
memory_medium,1,0.00,24.81
memory_medium,1,0.10,68.44
memory_medium,1,0.20,98.19
memory_medium,1,0.30,104.19
memory_medium,1,0.40,104.19
memory_medium,1,0.50,106.19
memory_medium,1,0.60,110.19
memory_medium,1,0.71,114.19
memory_medium,1,0.81,114.19
memory_medium,1,0.91,114.19
memory_medium,1,1.01,118.19
memory_medium,1,1.11,120.19
memory_medium,1,1.21,120.06
memory_medium,1,1.31,120.06
memory_medium,1,1.41,120.06
memory_medium,1,1.51,122.06
memory_medium,1,1.61,122.06
memory_medium,1,1.71,129.44
memory_medium,1,1.81,133.31
memory_medium,1,1.91,137.31
memory_medium,1,2.01,137.31
memory_medium,1,2.11,137.31
memory_medium,1,2.22,137.31
memory_medium,1,2.32,141.31
memory_medium,1,2.42,141.31
memory_medium,1,2.52,148.69
memory_medium,1,2.62,189.19
memory_medium,1,2.72,205.44
memory_medium,1,2.82,207.44
memory_medium,1,2.92,207.44
memory_medium,1,3.40,209.94
memory_medium,1,3.60,18.45
memory_medium,2,0.00,24.98
memory_medium,2,0.10,69.11
memory_medium,2,0.20,104.11
memory_medium,2,0.30,104.23
memory_medium,2,0.41,106.23
memory_medium,2,0.51,106.23
memory_medium,2,0.61,108.23
memory_medium,2,0.71,108.23
memory_medium,2,0.81,110.23
memory_medium,2,0.91,114.11
memory_medium,2,1.01,114.11
memory_medium,2,1.11,115.98
memory_medium,2,1.21,117.98
memory_medium,2,1.31,126.86
memory_medium,2,1.41,162.61
memory_medium,2,1.51,175.36
memory_medium,2,1.61,177.36
memory_medium,2,1.71,177.36
memory_medium,2,1.82,177.36
memory_medium,2,1.92,179.36
memory_medium,2,2.02,179.36
memory_medium,2,2.12,179.36
memory_medium,2,2.22,179.36
memory_medium,2,2.32,183.36
memory_medium,2,2.42,206.61
memory_medium,2,2.99,207.23
memory_medium,3,0.00,25.07
memory_medium,3,0.10,70.20
memory_medium,3,0.21,73.70
memory_medium,3,0.31,76.20
