Experiment Name,Run Number,Start Time,Finish Time
memory_medium,0,2025-04-23 09:43:02.662669738,2025-04-23 09:43:16.056055213
memory_medium,1,2025-04-23 09:43:16.076342781,2025-04-23 09:43:29.632622107
memory_medium,2,2025-04-23 09:43:29.641986273,2025-04-23 09:43:48.386663459
memory_medium,3,2025-04-23 09:43:48.408711470,2025-04-23 09:44:10.117928284
memory_medium,4,2025-04-23 09:44:10.124945575,2025-04-23 09:44:22.277189344
memory_medium,5,2025-04-23 09:44:22.286247715,2025-04-23 09:44:40.268171689
memory_medium,6,2025-04-23 09:44:40.292442091,2025-04-23 09:44:53.804294286
memory_medium,7,2025-04-23 09:44:53.828102688,2025-04-23 09:45:09.457387376
memory_medium,8,2025-04-23 09:45:09.467402103,2025-04-23 09:45:24.146616210
memory_medium,9,2025-04-23 09:45:24.169278337,2025-04-23 09:45:38.715673104
