Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_medium,0,0.00,25.20
memory_medium,0,0.10,71.07
memory_medium,0,0.20,115.70
memory_medium,0,0.37,135.57
memory_medium,0,0.47,135.57
memory_medium,0,0.58,137.57
memory_medium,0,0.68,139.20
memory_medium,0,0.78,139.57
memory_medium,0,0.88,139.57
memory_medium,0,0.98,141.45
memory_medium,0,1.08,141.45
memory_medium,0,1.18,141.45
memory_medium,0,1.28,145.45
memory_medium,0,1.38,145.45
memory_medium,0,1.48,145.45
memory_medium,0,1.58,149.45
memory_medium,0,1.68,149.45
memory_medium,0,1.78,149.45
memory_medium,0,1.89,172.82
memory_medium,0,1.99,206.07
memory_medium,0,2.33,206.57
memory_medium,0,2.59,15.20
memory_medium,1,0.00,24.87
memory_medium,1,0.10,54.37
memory_medium,1,0.20,60.12
memory_medium,1,0.30,62.12
memory_medium,1,0.40,64.12
memory_medium,1,0.50,66.12
memory_medium,1,0.61,68.12
memory_medium,1,0.71,69.87
memory_medium,1,0.81,69.87
memory_medium,1,0.91,69.87
memory_medium,1,1.01,69.87
memory_medium,1,1.11,69.87
memory_medium,1,1.21,73.75
memory_medium,1,1.31,73.75
memory_medium,1,1.41,75.75
memory_medium,1,1.51,75.75
memory_medium,1,1.61,85.87
memory_medium,1,1.71,117.62
memory_medium,1,1.81,119.62
memory_medium,1,1.91,133.62
memory_medium,1,2.01,133.62
memory_medium,1,2.12,133.62
memory_medium,1,2.22,139.62
memory_medium,1,2.32,147.75
memory_medium,1,2.42,151.12
memory_medium,1,2.52,151.12
memory_medium,1,2.62,153.00
memory_medium,1,2.72,155.00
memory_medium,1,2.82,155.00
memory_medium,1,2.92,156.87
memory_medium,1,3.02,156.87
memory_medium,1,3.12,158.87
memory_medium,1,3.22,158.87
memory_medium,1,3.33,158.87
memory_medium,1,3.43,158.87
memory_medium,1,3.53,158.87
memory_medium,1,3.63,158.87
memory_medium,1,3.73,164.87
memory_medium,1,3.83,164.87
memory_medium,1,3.93,166.87
memory_medium,1,4.03,166.87
memory_medium,1,4.13,166.87
memory_medium,1,4.23,168.87
memory_medium,1,4.33,170.00
memory_medium,1,4.43,170.00
memory_medium,1,4.54,170.75
memory_medium,1,4.64,170.00
memory_medium,1,4.74,169.37
memory_medium,1,4.84,168.25
memory_medium,1,4.94,168.12
memory_medium,1,5.04,168.00
memory_medium,1,5.14,164.75
memory_medium,1,5.27,167.50
memory_medium,1,5.45,167.87
memory_medium,1,5.55,166.75
memory_medium,1,5.65,165.75
memory_medium,1,5.75,167.87
memory_medium,1,5.85,167.00
memory_medium,1,5.95,170.25
memory_medium,1,6.05,169.87
memory_medium,1,6.15,169.37
memory_medium,1,6.25,169.87
memory_medium,1,6.35,169.12
memory_medium,1,6.45,170.62
memory_medium,1,6.55,170.00
