Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_long,1,0.00,6.72
memory_long,1,0.10,49.34
memory_long,1,0.20,92.09
memory_long,1,0.30,135.34
memory_long,1,0.40,178.47
memory_long,1,0.51,220.72
memory_long,1,0.61,239.47
memory_long,1,0.71,239.09
memory_long,1,0.81,250.09
memory_long,1,0.91,250.09
memory_long,1,1.01,250.09
memory_long,1,1.11,250.09
memory_long,1,1.21,251.97
memory_long,1,1.31,251.97
memory_long,1,1.41,253.72
memory_long,1,1.51,253.72
memory_long,1,1.61,265.09
memory_long,1,1.71,265.84
memory_long,1,1.82,267.72
memory_long,1,1.92,267.72
memory_long,1,2.02,269.72
memory_long,1,2.12,269.72
memory_long,1,2.22,271.22
memory_long,1,2.32,274.34
memory_long,1,2.44,271.84
memory_long,1,2.54,239.09
memory_long,1,2.64,236.97
memory_long,1,2.75,238.09
memory_long,1,2.85,238.09
memory_long,1,2.95,235.97
memory_long,1,3.05,234.84
memory_long,1,3.15,234.72
memory_long,1,3.77,235.84
memory_long,1,3.87,239.22
memory_long,1,3.97,242.97
memory_long,1,4.07,242.59
memory_long,1,4.49,250.22
memory_long,1,4.59,250.59
memory_long,1,4.69,251.47
memory_long,1,4.79,250.47
memory_long,1,4.97,250.59
memory_long,1,5.07,250.84
memory_long,1,5.17,250.47
memory_long,1,5.27,248.97
memory_long,1,5.37,245.34
memory_long,1,5.47,248.97
memory_long,1,5.57,247.59
memory_long,1,5.67,250.59
memory_long,1,5.77,247.09
memory_long,1,5.88,244.84
memory_long,1,5.98,245.09
memory_long,1,6.08,244.09
memory_long,1,6.59,232.59
memory_long,1,6.69,238.09
memory_long,1,6.80,235.84
memory_long,1,6.90,237.84
memory_long,1,7.00,239.47
memory_long,1,7.10,238.72
memory_long,1,7.20,238.72
memory_long,1,7.30,238.47
memory_long,1,7.40,241.97
memory_long,1,7.50,242.47
memory_long,1,7.60,242.59
memory_long,1,7.70,242.59
memory_long,1,8.41,241.59
memory_long,1,8.51,244.72
memory_long,1,8.61,244.22
memory_long,1,8.71,243.84
memory_long,1,8.81,248.34
memory_long,1,8.91,248.84
memory_long,1,9.01,249.84
memory_long,1,9.11,249.09
memory_long,1,9.21,251.22
memory_long,1,9.31,252.47
memory_long,1,9.41,249.47
memory_long,1,9.52,248.59
memory_long,1,9.85,246.47
memory_long,1,9.95,244.97
memory_long,1,10.05,244.34
memory_long,1,10.15,253.34
memory_long,1,10.25,254.84
memory_long,1,10.36,254.59
memory_long,1,10.46,252.22
memory_long,1,10.56,251.72
memory_long,1,10.66,250.97
memory_long,1,10.76,250.84
memory_long,1,10.86,250.84
memory_long,1,10.96,250.84
memory_long,1,11.06,250.72
memory_long,1,11.16,250.09
memory_long,1,11.26,249.59
memory_long,1,11.36,248.59
memory_long,1,11.46,254.22
memory_long,1,11.56,256.09
memory_long,1,11.67,255.47
memory_long,1,11.77,254.09
memory_long,1,11.87,253.47
memory_long,1,11.97,252.97
memory_long,1,12.07,249.72
memory_long,1,12.17,247.22
memory_long,1,12.27,247.22
memory_long,1,12.37,247.22
memory_long,1,12.47,245.72
memory_long,1,12.57,247.97
memory_long,1,12.67,246.72
memory_long,1,12.77,245.97
memory_long,1,12.87,245.72
memory_long,1,12.98,245.47
memory_long,1,13.08,244.09
memory_long,1,13.18,251.09
memory_long,1,13.28,250.09
memory_long,1,13.38,248.84
memory_long,1,13.48,248.84
memory_long,1,13.58,246.34
memory_long,1,13.68,244.72
memory_long,1,13.78,242.47
memory_long,1,13.88,241.84
memory_long,1,13.98,241.59
memory_long,1,14.08,240.34
memory_long,1,14.19,241.72
memory_long,1,14.29,234.72
memory_long,1,14.39,225.72
memory_long,1,14.49,225.22
memory_long,1,14.59,224.09
memory_long,1,14.69,221.72
memory_long,1,14.79,217.22
memory_long,1,14.89,213.47
memory_long,1,14.99,212.97
memory_long,1,15.09,211.22
memory_long,1,15.19,209.22
memory_long,1,18.77,190.09
memory_long,1,18.88,190.47
memory_long,1,18.98,190.47
memory_long,1,19.08,190.47
memory_long,1,19.18,190.47
memory_long,1,19.28,190.47
memory_long,1,19.38,190.47
memory_long,1,19.48,190.47
memory_long,1,19.58,190.47
memory_long,1,19.68,190.47
memory_long,1,19.78,190.47
memory_long,1,19.88,190.47
memory_long,1,19.98,190.47
memory_long,1,20.08,190.47
memory_long,1,20.18,190.47
memory_long,1,20.28,190.47
memory_long,1,20.38,190.47
memory_long,1,20.48,190.47
memory_long,1,20.58,190.47
memory_long,1,20.69,190.47
memory_long,1,20.79,190.47
memory_long,1,20.89,190.47
memory_long,1,20.99,190.47
memory_long,1,21.09,190.47
memory_long,1,21.19,190.47
memory_long,1,21.29,190.47
memory_long,1,21.39,190.47
memory_long,1,21.49,190.47
memory_long,1,21.59,190.47
memory_long,1,21.69,190.47
memory_long,1,21.79,190.47
memory_long,1,21.89,190.47
memory_long,1,21.99,190.47
memory_long,1,22.09,190.47
memory_long,1,22.20,190.47
memory_long,1,22.30,190.47
memory_long,1,22.40,190.47
memory_long,1,22.50,190.47
memory_long,1,22.60,190.47
memory_long,1,22.70,190.47
memory_long,1,22.80,190.47
memory_long,1,22.90,190.47
memory_long,1,23.00,190.47
memory_long,1,23.10,190.47
memory_long,1,23.20,190.47
memory_long,1,23.30,190.47
memory_long,1,23.40,190.47
memory_long,1,23.50,190.47
memory_long,1,23.60,190.47
memory_long,1,23.89,4.32
memory_long,2,0.00,31.07
memory_long,2,0.10,73.82
memory_long,2,0.20,116.57
memory_long,2,0.30,159.44
memory_long,2,0.41,202.82
memory_long,2,0.51,240.57
memory_long,2,0.61,250.57
memory_long,2,0.71,252.07
memory_long,2,0.81,260.94
memory_long,2,0.92,259.57
memory_long,2,1.02,259.07
memory_long,2,1.12,257.69
memory_long,2,1.22,258.69
memory_long,2,1.32,259.19
memory_long,2,1.42,259.19
memory_long,2,1.52,243.94
memory_long,2,1.62,229.69
memory_long,2,1.88,231.57
memory_long,2,1.98,227.69
memory_long,2,2.09,228.19
memory_long,2,2.19,229.32
memory_long,2,2.29,228.82
memory_long,2,2.39,228.94
memory_long,2,2.49,229.07
memory_long,2,2.59,228.19
memory_long,2,2.77,226.94
memory_long,2,2.87,225.82
memory_long,2,2.97,227.94
memory_long,2,3.07,228.69
memory_long,2,3.17,228.44
memory_long,2,3.27,228.32
memory_long,2,3.37,228.07
memory_long,2,3.47,231.82
memory_long,2,3.77,232.19
memory_long,2,3.94,231.19
memory_long,2,4.04,238.19
memory_long,2,4.14,236.69
memory_long,2,4.24,236.19
memory_long,2,4.34,236.19
memory_long,2,4.44,239.44
memory_long,2,4.54,238.57
memory_long,2,4.79,238.32
memory_long,2,4.89,238.32
memory_long,2,5.00,235.69
memory_long,2,5.10,240.94
memory_long,2,5.20,238.19
memory_long,2,5.30,236.94
memory_long,2,5.40,238.44
memory_long,2,5.50,238.44
memory_long,2,5.60,239.82
memory_long,2,5.70,238.57
memory_long,2,5.80,235.94
memory_long,2,5.90,238.69
memory_long,2,6.93,245.57
memory_long,2,7.03,243.19
memory_long,2,7.13,242.82
memory_long,2,7.23,242.57
memory_long,2,7.34,240.94
memory_long,2,7.44,242.44
memory_long,2,7.54,243.32
memory_long,2,7.64,243.07
memory_long,2,7.74,241.44
memory_long,2,7.84,243.32
memory_long,2,7.94,240.32
memory_long,2,8.04,237.82
memory_long,2,8.14,241.19
memory_long,2,8.24,240.19
memory_long,2,8.34,240.07
memory_long,2,8.44,241.19
memory_long,2,8.54,242.94
memory_long,2,8.65,241.32
memory_long,2,8.75,244.69
memory_long,2,8.85,245.82
memory_long,2,8.95,244.32
memory_long,2,9.05,244.82
memory_long,2,9.15,245.69
memory_long,2,9.25,244.19
memory_long,2,9.36,242.44
memory_long,2,9.46,242.94
memory_long,2,9.56,244.07
memory_long,2,9.66,241.94
memory_long,2,9.76,240.19
memory_long,2,9.86,241.57
memory_long,2,9.96,241.32
memory_long,2,10.06,239.94
memory_long,2,10.17,242.07
memory_long,2,10.27,241.57
memory_long,2,10.37,241.57
memory_long,2,10.47,241.32
memory_long,2,10.57,238.82
memory_long,2,10.67,242.32
memory_long,2,10.77,242.57
memory_long,2,10.87,240.94
memory_long,2,10.97,239.69
memory_long,2,11.07,239.19
memory_long,2,11.17,236.69
memory_long,2,11.46,234.57
memory_long,2,11.56,233.82
memory_long,2,11.66,241.69
memory_long,2,11.76,240.07
memory_long,2,11.86,240.57
memory_long,2,11.97,241.69
memory_long,2,12.07,238.57
memory_long,2,12.17,234.19
memory_long,2,12.27,233.57
memory_long,2,12.37,231.94
memory_long,2,12.47,229.82
memory_long,2,12.57,226.94
memory_long,2,16.10,199.07
memory_long,2,16.21,199.44
memory_long,2,16.31,199.44
memory_long,2,16.41,199.44
memory_long,2,16.51,199.44
memory_long,2,16.61,199.44
memory_long,2,16.71,199.44
memory_long,2,16.81,199.44
memory_long,2,16.91,199.44
memory_long,2,17.01,199.44
memory_long,2,17.11,199.44
memory_long,2,17.21,199.44
memory_long,2,17.31,199.44
memory_long,2,17.41,199.44
memory_long,2,17.51,199.44
memory_long,2,17.61,199.44
memory_long,2,17.71,199.44
memory_long,2,17.81,199.44
memory_long,2,17.91,199.44
memory_long,2,18.02,199.44
memory_long,2,18.12,199.44
memory_long,2,18.22,199.44
memory_long,2,18.32,199.44
memory_long,2,18.42,199.44
memory_long,2,18.52,199.44
memory_long,2,18.62,199.44
memory_long,2,18.72,199.44
memory_long,2,18.82,199.44
memory_long,2,18.92,199.44
memory_long,2,19.02,199.44
memory_long,2,19.12,199.44
memory_long,2,19.22,199.44
memory_long,2,19.32,199.44
memory_long,2,19.42,199.44
memory_long,2,19.52,199.44
memory_long,2,19.62,199.44
memory_long,2,19.73,199.44
memory_long,2,19.83,199.44
memory_long,2,19.93,199.44
memory_long,2,20.03,199.44
memory_long,2,20.13,199.44
memory_long,2,20.23,199.44
memory_long,2,20.33,199.44
memory_long,2,20.43,199.44
memory_long,2,20.53,199.44
memory_long,2,20.63,199.44
memory_long,2,20.73,199.44
memory_long,2,20.83,199.44
memory_long,2,20.93,199.44
memory_long,2,21.14,4.23
memory_long,3,0.00,27.98
memory_long,3,0.10,70.60
memory_long,3,0.20,113.60
memory_long,3,0.30,156.23
memory_long,3,0.41,199.23
memory_long,3,0.51,243.23
memory_long,3,0.61,256.23
memory_long,3,0.71,266.48
memory_long,3,0.81,270.23
memory_long,3,0.98,270.35
memory_long,3,1.08,264.35
memory_long,3,1.18,264.10
memory_long,3,1.28,262.10
memory_long,3,1.38,259.98
memory_long,3,1.48,258.73
memory_long,3,1.58,256.98
memory_long,3,1.68,264.35
memory_long,3,1.82,261.73
memory_long,3,1.92,259.60
memory_long,3,2.02,260.85
memory_long,3,2.12,259.98
memory_long,3,2.22,260.48
memory_long,3,2.32,260.23
memory_long,3,2.42,258.85
memory_long,3,2.52,258.73
memory_long,3,2.75,259.48
memory_long,3,2.85,260.60
memory_long,3,2.95,259.85
memory_long,3,3.06,261.73
memory_long,3,3.16,260.10
memory_long,3,3.26,259.60
memory_long,3,3.36,258.98
memory_long,3,3.73,258.23
memory_long,3,4.04,259.35
memory_long,3,4.14,256.48
memory_long,3,4.24,256.48
memory_long,3,4.34,259.48
memory_long,3,4.44,255.60
memory_long,3,4.54,255.60
memory_long,3,4.64,255.48
memory_long,3,4.74,258.73
memory_long,3,4.95,257.10
memory_long,3,5.05,254.98
memory_long,3,5.15,248.85
memory_long,3,5.25,248.85
memory_long,3,5.36,252.10
memory_long,3,5.46,254.10
memory_long,3,5.56,254.48
memory_long,3,5.66,255.60
memory_long,3,5.76,254.35
memory_long,3,5.86,256.10
memory_long,3,5.96,255.85
memory_long,3,6.06,255.73
memory_long,3,6.43,254.10
memory_long,3,6.53,253.98
memory_long,3,6.63,252.73
memory_long,3,6.73,251.35
memory_long,3,6.83,248.35
memory_long,3,6.93,252.35
memory_long,3,7.03,251.85
memory_long,3,7.14,251.85
memory_long,3,7.24,251.60
memory_long,3,7.34,251.35
memory_long,3,7.44,254.10
memory_long,3,7.54,249.73
memory_long,3,7.64,247.98
memory_long,3,7.74,251.10
memory_long,3,7.84,250.73
memory_long,3,7.94,251.73
memory_long,3,8.04,250.35
memory_long,3,8.14,248.98
memory_long,3,8.24,247.48
memory_long,3,8.35,246.10
memory_long,3,8.45,245.85
memory_long,3,8.55,245.85
memory_long,3,8.65,252.48
memory_long,3,8.75,250.73
memory_long,3,9.02,247.23
memory_long,3,9.12,245.60
memory_long,3,9.23,242.48
memory_long,3,9.33,244.98
memory_long,3,9.43,243.10
memory_long,3,9.53,242.48
memory_long,3,9.63,243.85
memory_long,3,9.73,243.98
memory_long,3,9.83,242.60
memory_long,3,9.93,241.85
memory_long,3,10.03,238.23
memory_long,3,10.13,231.23
memory_long,3,10.23,230.10
memory_long,3,10.33,226.10
memory_long,3,10.43,227.60
memory_long,3,10.54,229.48
memory_long,3,10.64,227.60
memory_long,3,10.80,228.23
memory_long,3,10.90,227.85
memory_long,3,11.01,227.35
memory_long,3,11.11,227.10
memory_long,3,11.21,232.60
memory_long,3,11.31,232.48
memory_long,3,11.41,233.98
memory_long,3,11.51,233.98
memory_long,3,11.61,233.85
memory_long,3,11.71,239.35
memory_long,3,11.81,235.60
memory_long,3,11.91,234.98
memory_long,3,12.01,234.73
memory_long,3,12.12,237.35
memory_long,3,12.22,237.73
memory_long,3,12.32,237.73
memory_long,3,12.42,239.73
memory_long,3,12.52,240.85
memory_long,3,12.62,241.35
memory_long,3,12.72,236.85
memory_long,3,12.82,236.23
memory_long,3,12.92,236.73
memory_long,3,13.02,234.98
memory_long,3,13.12,232.73
memory_long,3,13.22,232.60
memory_long,3,13.32,232.60
memory_long,3,13.43,232.60
memory_long,3,13.53,231.35
memory_long,3,13.63,229.73
memory_long,3,13.73,228.35
memory_long,3,19.83,167.73
memory_long,3,19.95,162.48
memory_long,3,20.05,161.98
memory_long,3,20.15,161.98
memory_long,3,20.26,161.98
memory_long,3,20.36,161.98
memory_long,3,20.46,161.98
memory_long,3,20.56,161.98
memory_long,3,20.66,161.98
memory_long,3,20.76,161.98
memory_long,3,20.86,161.98
memory_long,3,20.96,161.98
memory_long,3,21.06,161.98
memory_long,3,21.16,161.98
memory_long,3,21.26,161.98
memory_long,3,21.36,161.98
memory_long,3,21.46,161.98
memory_long,3,21.56,161.98
memory_long,3,21.66,161.98
memory_long,3,21.77,161.98
memory_long,3,21.87,161.98
memory_long,3,21.97,161.98
memory_long,3,22.07,161.98
memory_long,3,22.17,162.10
memory_long,3,22.27,162.10
memory_long,3,22.37,162.10
memory_long,3,22.47,162.10
memory_long,3,22.57,162.10
memory_long,3,22.67,162.10
memory_long,3,22.77,162.10
memory_long,3,22.87,162.10
memory_long,3,22.98,162.10
memory_long,3,23.08,162.10
memory_long,3,23.18,162.10
memory_long,3,23.28,162.10
memory_long,3,23.38,162.10
memory_long,3,23.48,162.10
memory_long,3,23.58,162.10
memory_long,3,23.68,162.10
memory_long,3,23.78,162.10
memory_long,3,23.88,162.10
memory_long,3,23.98,162.10
memory_long,3,24.08,162.10
memory_long,3,24.35,4.14
memory_long,4,0.00,32.76
memory_long,4,0.10,75.39
memory_long,4,0.20,118.39
memory_long,4,0.31,161.26
memory_long,4,0.41,204.26
memory_long,4,0.51,231.89
memory_long,4,0.61,255.89
memory_long,4,0.71,255.39
memory_long,4,0.81,252.64
memory_long,4,0.91,255.39
memory_long,4,1.01,247.14
memory_long,4,1.11,247.01
memory_long,4,1.21,249.01
memory_long,4,1.31,248.39
memory_long,4,1.41,248.01
memory_long,4,1.51,233.14
memory_long,4,1.61,235.64
memory_long,4,1.72,235.26
memory_long,4,1.83,234.39
memory_long,4,1.93,236.76
memory_long,4,2.03,234.39
memory_long,4,2.13,233.51
memory_long,4,2.23,236.01
memory_long,4,2.33,237.01
memory_long,4,2.43,235.26
memory_long,4,2.77,241.89
memory_long,4,2.87,240.51
memory_long,4,2.97,239.89
memory_long,4,3.07,239.89
memory_long,4,3.17,239.51
memory_long,4,3.40,238.39
memory_long,4,3.50,242.26
memory_long,4,3.60,237.76
memory_long,4,4.32,234.89
memory_long,4,4.42,234.26
memory_long,4,4.52,235.76
memory_long,4,4.62,235.51
memory_long,4,4.72,235.26
memory_long,4,4.82,239.89
memory_long,4,4.92,241.51
memory_long,4,5.02,239.01
memory_long,4,5.20,232.51
memory_long,4,5.30,231.89
memory_long,4,5.40,237.14
memory_long,4,5.50,235.51
memory_long,4,5.61,233.14
memory_long,4,5.71,250.76
memory_long,4,5.81,250.51
memory_long,4,5.91,251.51
memory_long,4,6.01,249.26
memory_long,4,6.11,250.01
memory_long,4,6.21,251.01
memory_long,4,6.31,250.89
memory_long,4,8.59,252.51
memory_long,4,8.69,252.39
memory_long,4,8.79,252.39
memory_long,4,8.89,252.39
memory_long,4,8.99,252.14
memory_long,4,9.09,259.76
memory_long,4,9.19,258.76
memory_long,4,9.29,258.01
memory_long,4,9.39,258.01
memory_long,4,9.49,256.64
memory_long,4,9.59,253.26
memory_long,4,9.69,251.64
memory_long,4,9.79,249.51
memory_long,4,9.90,248.51
memory_long,4,10.00,250.64
memory_long,4,10.10,250.39
memory_long,4,10.20,247.39
memory_long,4,10.30,243.01
memory_long,4,10.40,242.51
memory_long,4,10.50,240.76
memory_long,4,10.60,246.01
memory_long,4,10.70,243.14
memory_long,4,10.80,243.39
memory_long,4,10.90,243.14
memory_long,4,11.15,244.14
memory_long,4,11.25,243.26
memory_long,4,11.35,244.76
memory_long,4,11.45,245.01
memory_long,4,11.56,244.89
memory_long,4,11.66,243.39
memory_long,4,11.76,242.01
memory_long,4,11.86,241.51
memory_long,4,11.96,244.14
memory_long,4,12.06,243.64
memory_long,4,12.16,242.76
memory_long,4,12.26,241.76
memory_long,4,12.36,239.89
memory_long,4,12.46,238.76
memory_long,4,12.56,235.64
memory_long,4,12.73,232.51
memory_long,4,16.24,195.51
memory_long,4,16.45,195.89
memory_long,4,16.55,195.89
memory_long,4,16.65,195.89
memory_long,4,16.75,195.89
memory_long,4,16.86,195.89
memory_long,4,16.96,195.89
memory_long,4,17.06,195.89
memory_long,4,17.16,195.89
memory_long,4,17.26,195.89
memory_long,4,17.36,195.89
memory_long,4,17.46,195.89
