Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_medium,0,1744700444.8129838,1744700445.3267612,0.513777494430542
memory_medium,1,1744700446.9399216,1744700447.455341,0.5154194831848145
memory_medium,2,1744700448.9527724,1744700449.469607,0.5168347358703613
memory_medium,3,1744700450.4996321,1744700451.0101755,0.5105433464050293
memory_medium,4,1744700451.918144,1744700452.4174428,0.4992988109588623
memory_medium,5,1744700453.3330727,1744700453.8379748,0.5049021244049072
memory_medium,6,1744700454.7775033,1744700455.2918358,0.5143325328826904
memory_medium,7,1744700456.2012167,1744700456.6934905,0.49227380752563477
memory_medium,8,1744700457.6158946,1744700458.108092,0.49219751358032227
memory_medium,9,1744700459.0389879,1744700459.5480971,0.5091092586517334
