Experiment Name,Run Number,Timestamp (s),Memory Usage (MB)
memory_medium,1,0.00,25.87
memory_medium,1,0.10,65.87
memory_medium,1,0.20,108.87
memory_medium,1,0.30,151.75
memory_medium,1,0.41,194.25
memory_medium,1,0.51,206.62
memory_medium,1,0.61,208.62
memory_medium,1,0.71,216.62
memory_medium,1,0.81,216.62
memory_medium,1,0.91,216.62
memory_medium,1,1.01,216.62
memory_medium,1,1.11,206.00
memory_medium,1,1.21,204.75
memory_medium,1,1.31,204.75
memory_medium,1,1.41,204.75
memory_medium,1,1.51,204.75
memory_medium,1,1.61,204.75
memory_medium,1,1.71,204.75
memory_medium,1,1.81,204.75
memory_medium,1,1.91,204.75
memory_medium,1,2.02,204.75
memory_medium,1,2.12,204.75
memory_medium,1,2.22,204.75
memory_medium,1,2.32,204.75
memory_medium,1,2.42,204.75
memory_medium,1,2.52,204.75
memory_medium,1,2.62,204.75
memory_medium,1,2.72,204.75
memory_medium,1,2.82,204.75
memory_medium,1,2.92,204.75
memory_medium,1,3.02,204.75
memory_medium,1,3.12,204.75
memory_medium,1,3.22,204.75
memory_medium,1,3.32,204.75
memory_medium,1,3.42,204.75
memory_medium,1,3.52,204.75
memory_medium,1,3.62,204.75
memory_medium,1,3.72,204.75
memory_medium,1,3.82,204.75
memory_medium,1,3.92,204.75
memory_medium,1,4.02,204.75
memory_medium,1,4.12,204.75
memory_medium,1,4.23,204.75
memory_medium,1,4.33,204.75
memory_medium,1,4.43,204.75
memory_medium,1,4.53,204.75
memory_medium,1,4.63,204.75
memory_medium,1,4.73,204.75
memory_medium,1,4.83,204.75
memory_medium,1,4.93,204.75
memory_medium,1,5.03,204.75
memory_medium,1,5.13,204.75
memory_medium,1,5.23,204.75
memory_medium,1,5.33,204.75
memory_medium,1,5.43,204.75
memory_medium,1,5.53,204.75
memory_medium,1,5.73,12.50
memory_medium,2,0.00,13.12
memory_medium,2,0.10,55.88
memory_medium,2,0.20,98.88
memory_medium,2,0.30,141.75
memory_medium,2,0.40,185.38
memory_medium,2,0.51,201.38
memory_medium,2,0.61,201.38
memory_medium,2,0.71,201.38
memory_medium,2,0.81,201.38
memory_medium,2,0.91,201.38
memory_medium,2,1.01,201.38
memory_medium,2,1.11,201.38
memory_medium,2,1.21,201.38
memory_medium,2,1.31,201.38
memory_medium,2,1.41,201.38
memory_medium,2,1.51,201.38
memory_medium,2,1.61,201.38
memory_medium,2,1.71,201.38
memory_medium,2,1.81,201.38
memory_medium,2,1.91,201.38
memory_medium,2,2.01,201.38
memory_medium,2,2.11,201.38
memory_medium,2,2.21,201.38
memory_medium,2,2.31,201.38
memory_medium,2,2.41,201.38
memory_medium,2,2.51,201.38
memory_medium,2,2.61,201.38
memory_medium,2,2.72,201.38
memory_medium,2,2.82,201.38
memory_medium,2,2.92,201.38
memory_medium,2,3.02,201.38
memory_medium,2,3.12,201.38
memory_medium,2,3.22,201.38
memory_medium,2,3.32,201.38
memory_medium,2,3.42,201.38
memory_medium,2,3.52,201.38
memory_medium,2,3.62,201.38
memory_medium,2,3.72,201.38
memory_medium,2,3.82,201.38
memory_medium,2,3.92,201.38
memory_medium,2,4.02,201.38
memory_medium,2,4.12,201.38
memory_medium,2,4.22,201.38
memory_medium,2,4.32,201.38
memory_medium,2,4.42,201.38
memory_medium,2,4.52,201.38
memory_medium,2,4.62,201.38
memory_medium,2,4.72,201.38
memory_medium,2,4.82,201.38
memory_medium,2,4.92,201.38
memory_medium,2,5.03,201.38
memory_medium,2,5.13,201.38
memory_medium,2,5.23,201.38
memory_medium,2,5.33,201.38
memory_medium,2,5.43,201.38
memory_medium,2,5.54,9.12
memory_medium,3,0.00,9.62
memory_medium,3,0.10,52.75
memory_medium,3,0.20,95.50
memory_medium,3,0.30,138.50
memory_medium,3,0.40,181.88
memory_medium,3,0.51,201.38
memory_medium,3,0.61,201.38
memory_medium,3,0.71,201.38
memory_medium,3,0.81,201.38
